Date,Open,High,Low,Close,Volume
2002-09-25,14.89,14.89,14.89,14.89,1000
2002-09-26,14.89,15.17,14.89,15.17,111900
2002-09-27,15.03,15.07,14.84,14.89,37100
2002-09-30,14.8,15.95,14.61,15.95,903300
2002-10-01,15.91,16.32,15.52,15.52,662400
2002-10-02,15.52,15.52,14.19,14.52,592100
2002-10-03,14.38,15.15,14.38,14.89,650400
2002-10-04,14.8,14.89,14.38,14.5,380200
2002-10-07,14.56,14.8,13.87,13.87,594700
2002-10-08,13.32,13.32,12.73,12.98,416600
2002-10-09,13.04,13.18,12.9,12.95,291800
2002-10-10,12.9,12.95,12.23,12.47,739900
2002-10-11,12.57,12.84,12.44,12.58,487200
2002-10-14,12.39,13.3,12.39,13.1,166200
2002-10-15,13.06,13.85,13.06,13.82,318500
2002-10-16,13.73,13.82,13.06,13.08,274100
2002-10-17,13.08,13.39,13.08,13.31,1012300
2002-10-18,13.32,13.81,13.13,13.65,342600
2002-10-21,13.45,13.82,13.41,13.66,263500
2002-10-22,13.64,13.96,13.5,13.96,279900
2002-10-23,13.96,14.22,13.87,14.19,372600
2002-10-24,14.15,14.31,14.11,14.31,395500
2002-10-25,14.31,14.31,13.92,14.21,265100
2002-10-28,14.19,14.26,14.1,14.19,442600
2002-10-29,14.19,14.19,14.06,14.19,202200
2002-10-30,14.19,14.87,14.19,14.8,197100
2002-10-31,14.8,14.82,14.7,14.7,257100
2002-11-01,14.7,14.8,14.54,14.8,159800
2002-11-04,14.77,14.89,14.56,14.66,120800
2002-11-05,14.66,14.66,14.29,14.43,252700
2002-11-06,14.47,14.55,14.33,14.38,190700
2002-11-07,14.33,14.47,13.92,14.4,207000
2002-11-08,14.32,14.32,13.69,13.96,78600
2002-11-11,13.73,14.02,13.61,14.01,41500
2002-11-12,13.94,14.01,13.8,13.98,43400
2002-11-13,13.98,13.98,13.5,13.5,395300
2002-11-14,13.5,13.71,13.36,13.58,58500
2002-11-15,13.45,13.6,13.19,13.5,149700
2002-11-18,13.44,13.59,13.11,13.59,181400
2002-11-19,13.53,13.7,13.43,13.69,199700
2002-11-20,13.69,14.13,13.69,14.13,236900
2002-11-21,14.1,14.19,13.78,14.0,306100
2002-11-22,14.06,14.18,13.98,14.07,260100
2002-11-25,14.07,14.43,14.07,14.38,280800
2002-11-26,14.31,14.4,14.2,14.24,29200
2002-11-27,14.21,14.33,14.19,14.27,47400
2002-11-29,14.21,14.33,13.98,13.98,61700
