Date,Open,High,Low,Close,Volume
1990-06-12,0.0,0.9,0.78,0.84,28022400
1990-06-13,0.0,0.95,0.81,0.93,10702800
1990-06-14,0.0,0.98,0.9,0.96,5994000
1990-06-15,0.0,0.96,0.92,0.93,3896400
1990-06-18,0.95,0.95,0.89,0.89,2242800
1990-06-19,0.89,0.93,0.87,0.92,6829200
1990-06-20,0.93,0.93,0.9,0.92,931200
1990-06-21,0.9,0.92,0.89,0.92,842400
1990-06-22,0.92,0.92,0.89,0.91,1428000
1990-06-25,0.9,0.93,0.89,0.9,1849200
1990-06-26,0.92,0.93,0.89,0.89,1482000
1990-06-27,0.89,0.95,0.89,0.92,7206000
1990-06-28,0.93,0.93,0.9,0.92,2084400
1990-06-29,0.92,0.92,0.9,0.9,2312400
1990-07-02,0.9,0.92,0.89,0.89,596400
1990-07-03,0.9,0.9,0.87,0.9,1974000
1990-07-05,0.89,0.9,0.89,0.89,1177200
1990-07-06,0.9,0.9,0.87,0.9,396000
1990-07-09,0.92,0.92,0.89,0.89,534000
1990-07-10,0.89,0.96,0.89,0.93,3079200
1990-07-11,0.93,0.96,0.92,0.92,1683600
1990-07-12,0.95,0.95,0.9,0.92,4863600
1990-07-13,0.95,0.96,0.92,0.96,3573600
1990-07-16,0.98,0.99,0.92,0.96,4029600
1990-07-17,0.96,0.98,0.95,0.96,2526000
1990-07-18,0.98,1.02,0.96,0.99,3375600
1990-07-19,0.99,1.01,0.98,0.98,943200
1990-07-20,1.01,1.01,0.98,0.98,630000
1990-07-23,0.98,0.99,0.9,0.92,1952400
1990-07-24,0.93,0.95,0.87,0.89,1084800
1990-07-25,0.9,0.95,0.89,0.93,1543200
1990-07-26,0.95,0.95,0.92,0.92,447600
1990-07-27,0.92,0.93,0.92,0.92,122400
1990-07-30,0.9,0.92,0.83,0.89,1852800
1990-07-31,0.89,0.92,0.86,0.87,1010400
1990-08-01,0.89,0.89,0.86,0.89,411600
