Date,Open,High,Low,Close,Volume
1962-01-02,0.0,0.12,0.12,0.12,902400
1962-01-03,0.0,0.12,0.12,0.12,1200000
1962-01-04,0.0,0.12,0.12,0.12,1088000
1962-01-05,0.0,0.12,0.12,0.12,1222400
1962-01-08,0.0,0.12,0.12,0.12,1388800
1962-01-09,0.0,0.12,0.12,0.12,1065600
1962-01-10,0.0,0.12,0.12,0.12,828800
1962-01-11,0.0,0.12,0.12,0.12,617600
1962-01-12,0.0,0.12,0.12,0.12,1398400
1962-01-15,0.0,0.12,0.12,0.12,966400
1962-01-16,0.0,0.12,0.12,0.12,569600
1962-01-17,0.0,0.12,0.12,0.12,832000
1962-01-18,0.0,0.12,0.12,0.12,844800
1962-01-19,0.0,0.12,0.12,0.12,720000
1962-01-22,0.0,0.12,0.12,0.12,745600
1962-01-23,0.0,0.12,0.12,0.12,908800
1962-01-24,0.0,0.12,0.12,0.12,841600
1962-01-25,0.0,0.12,0.12,0.12,1078400
1962-01-26,0.0,0.12,0.12,0.12,832000
1962-01-29,0.0,0.12,0.12,0.12,1462400
1962-01-30,0.0,0.12,0.12,0.12,1843200
1962-01-31,0.0,0.12,0.12,0.12,1718400
1962-02-01,0.0,0.13,0.12,0.13,2371200
1962-02-02,0.0,0.13,0.13,0.13,2310400
1962-02-05,0.0,0.13,0.13,0.13,1977600
1962-02-06,0.0,0.13,0.13,0.13,1446400
1962-02-07,0.0,0.13,0.13,0.13,1126400
1962-02-08,0.0,0.13,0.13,0.13,684800
1962-02-09,0.0,0.13,0.13,0.13,563200
1962-02-12,0.0,0.13,0.13,0.13,428800
1962-02-13,0.0,0.13,0.13,0.13,873600
1962-02-14,0.0,0.13,0.13,0.13,636800
1962-02-15,0.0,0.13,0.13,0.13,742400
1962-02-16,0.0,0.13,0.13,0.13,816000
1962-02-19,0.0,0.13,0.13,0.13,1657600
1962-02-20,0.0,0.13,0.13,0.13,800000
1962-02-21,0.0,0.13,0.13,0.13,681600
1962-02-23,0.0,0.13,0.13,0.13,793600
1962-02-26,0.0,0.13,0.13,0.13,640000
1962-02-27,0.0,0.13,0.13,0.13,908800
1962-02-28,0.0,0.13,0.13,0.13,2131200
1962-03-01,0.0,0.13,0.13,0.13,899200
1962-03-02,0.0,0.13,0.13,0.13,838400
1962-03-05,0.0,0.13,0.13,0.13,1011200
