Date,Open,High,Low,Close,Volume
1977-01-03,3.78,3.82,3.78,3.79,169800.0
1977-01-04,3.79,3.8,3.73,3.74,143200.0
1977-01-05,3.74,3.8,3.69,3.72,191000.0
1977-01-06,3.72,3.76,3.68,3.71,168700.0
1977-01-07,3.71,3.72,3.63,3.69,143200.0
1977-01-10,3.69,3.73,3.65,3.7,198000.0
1977-01-11,3.7,3.76,3.64,3.64,145700.0
1977-01-12,3.64,3.67,3.6,3.63,158900.0
1977-01-13,3.63,3.68,3.63,3.68,153200.0
1977-01-14,3.68,3.69,3.64,3.65,173900.0
1977-01-17,3.65,3.69,3.61,3.63,152500.0
1977-01-18,3.63,3.68,3.6,3.62,367500.0
1977-01-19,3.62,3.65,3.58,3.65,179400.0
1977-01-20,3.65,3.65,3.51,3.59,255900.0
1977-01-21,3.59,3.63,3.56,3.63,225400.0
1977-01-24,3.61,3.61,3.56,3.58,259100.0
1977-01-25,3.58,3.61,3.53,3.56,176900.0
1977-01-26,3.56,3.57,3.52,3.54,156600.0
1977-01-27,3.5,3.5,3.38,3.42,322400.0
1977-01-28,3.42,3.46,3.4,3.45,294400.0
1977-01-31,3.45,3.52,3.43,3.51,239000.0
1977-02-01,3.51,3.53,3.45,3.45,245200.0
1977-02-02,3.45,3.54,3.37,3.38,304800.0
1977-02-03,3.38,3.43,3.36,3.43,200800.0
1977-02-04,3.43,3.46,3.41,3.43,235200.0
1977-02-07,3.43,3.48,3.41,3.43,144300.0
1977-02-08,3.43,3.45,3.36,3.37,593100.0
1977-02-09,3.37,3.39,3.32,3.39,352200.0
1977-02-10,3.39,3.41,3.34,3.38,219700.0
1977-02-11,3.38,3.39,3.36,3.37,182100.0
1977-02-14,3.37,3.41,3.33,3.41,218100.0
1977-02-15,3.41,3.42,3.39,3.41,219700.0
1977-02-16,3.41,3.45,3.39,3.41,157300.0
1977-02-17,3.41,3.41,3.37,3.38,139500.0
1977-02-18,3.38,3.38,3.33,3.37,112900.0
1977-02-22,3.37,3.39,3.36,3.37,137700.0
1977-02-23,3.37,3.37,3.29,3.31,218300.0
1977-02-24,3.31,3.31,3.24,3.24,373600.0
1977-02-25,3.24,3.31,3.24,3.28,266400.0
1977-02-28,3.3,3.31,3.25,3.3,280700.0
1977-03-01,3.3,3.36,3.29,3.33,309200.0
1977-03-02,3.33,3.34,3.27,3.29,180100.0
1977-03-03,3.29,3.32,3.29,3.32,176000.0
1977-03-04,3.32,3.39,3.31,3.36,113300.0
1977-03-07,3.36,3.39,3.35,3.39,116300.0
1977-03-08,3.39,3.4,3.33,3.34,122200.0
1977-03-09,3.33,3.33,3.25,3.25,296600.0
1977-03-10,3.25,3.31,3.24,3.3,234000.0
1977-03-11,3.3,3.3,3.25,3.27,245000.0
1977-03-14,3.27,3.3,3.19,3.3,156800.0
1977-03-15,3.3,3.3,3.25,3.27,281400.0
1977-03-16,3.27,3.3,3.26,3.27,599900.0
1977-03-17,3.26,3.26,3.25,3.26,194000.0
1977-03-18,3.26,3.26,3.19,3.21,536900.0
1977-03-21,3.21,3.21,3.13,3.16,288900.0
1977-03-22,3.16,3.18,3.14,3.18,199200.0
1977-03-23,3.18,3.19,3.13,3.13,187800.0
1977-03-24,3.13,3.15,3.07,3.08,254500.0
1977-03-25,3.08,3.11,3.06,3.09,218800.0
1977-03-28,3.09,3.12,3.07,3.12,169600.0
1977-03-29,3.12,3.18,3.12,3.18,359300.0
1977-03-30,3.18,3.19,3.11,3.12,200800.0
1977-03-31,3.12,3.16,3.11,3.13,275700.0
1977-04-01,3.13,3.16,3.12,3.16,208100.0
1977-04-04,3.16,3.16,3.11,3.12,177600.0
1977-04-05,3.12,3.12,3.07,3.09,242500.0
1977-04-06,3.09,3.12,3.03,3.04,167500.0
1977-04-07,3.03,3.03,3.02,3.03,132900.0
1977-04-11,3.03,3.11,3.03,3.09,233300.0
1977-04-12,3.12,3.22,3.12,3.21,358800.0
1977-04-13,3.2,3.2,3.14,3.19,421000.0
1977-04-14,3.19,3.24,3.19,3.2,188900.0
1977-04-15,3.19,3.19,3.15,3.16,144300.0
1977-04-18,3.16,3.16,3.0,3.0,180300.0
1977-04-19,3.0,3.03,2.95,2.96,375200.0
1977-04-20,2.96,3.05,2.96,3.05,412300.0
1977-04-21,3.05,3.11,3.03,3.03,401400.0
1977-04-22,3.03,3.03,2.99,3.03,162800.0
1977-04-25,3.03,3.03,2.97,2.98,182300.0
1977-04-26,2.98,3.02,2.96,2.98,196700.0
1977-04-27,2.98,3.03,2.98,3.01,151400.0
1977-04-28,3.01,3.05,3.0,3.03,201500.0
1977-04-29,3.03,3.03,2.95,2.98,408000.0
1977-05-02,2.94,2.94,2.85,2.91,444900.0
1977-05-03,2.91,2.94,2.88,2.88,257300.0
1977-05-04,2.88,2.91,2.82,2.89,383600.0
1977-05-05,2.89,2.91,2.88,2.9,199400.0
1977-05-06,2.9,2.91,2.88,2.89,171900.0
1977-05-09,2.89,2.96,2.89,2.95,150900.0
1977-05-10,2.95,3.0,2.94,2.95,229700.0
1977-05-11,2.95,3.01,2.95,3.01,235400.0
1977-05-12,3.01,3.07,2.99,3.06,197400.0
1977-05-13,3.06,3.12,3.05,3.1,193700.0
1977-05-16,3.1,3.16,3.1,3.12,145900.0
1977-05-17,3.12,3.16,3.1,3.16,159600.0
1977-05-18,3.16,3.17,3.11,3.11,163000.0
1977-05-19,3.11,3.16,3.1,3.11,361500.0
1977-05-20,3.11,3.14,3.07,3.08,439000.0
1977-05-23,3.08,3.08,2.98,2.99,282800.0
1977-05-24,2.99,3.0,2.93,2.96,371100.0
1977-05-25,2.96,3.0,2.94,2.97,296200.0
1977-05-26,2.98,3.03,2.98,3.0,226300.0
1977-05-27,3.01,3.01,2.98,2.99,166400.0
1977-05-31,2.99,3.0,2.97,2.98,133200.0
1977-06-01,2.99,3.02,2.99,2.99,388000.0
1977-06-02,2.99,3.04,2.99,3.01,183200.0
1977-06-03,3.01,3.04,3.01,3.03,157500.0
1977-06-06,3.03,3.04,2.95,2.96,201700.0
1977-06-07,2.96,3.02,2.92,3.02,158200.0
1977-06-08,3.02,3.06,3.0,3.04,253400.0
1977-06-09,3.04,3.07,3.03,3.06,112700.0
1977-06-10,3.06,3.09,3.04,3.05,115400.0
1977-06-13,3.05,3.09,3.03,3.09,160300.0
1977-06-14,3.1,3.18,3.1,3.18,246100.0
1977-06-15,3.18,3.21,3.16,3.17,257500.0
1977-06-16,3.17,3.18,3.13,3.18,133600.0
1977-06-17,3.18,3.2,3.16,3.18,111800.0
1977-06-20,3.18,3.28,3.18,3.28,209900.0
1977-06-21,3.29,3.35,3.29,3.3,318700.0
1977-06-22,3.3,3.3,3.25,3.27,175700.0
1977-06-23,3.27,3.29,3.24,3.29,178900.0
1977-06-24,3.29,3.32,3.25,3.26,204000.0
1977-06-27,3.26,3.26,3.18,3.22,105400.0
1977-06-28,3.2,3.2,3.15,3.16,210300.0
1977-06-29,3.16,3.18,3.13,3.18,110600.0
1977-06-30,3.18,3.22,3.18,3.22,228100.0
1977-07-01,3.22,3.23,3.17,3.18,266600.0
1977-07-05,3.18,3.21,3.17,3.18,207400.0
1977-07-06,3.18,3.19,3.14,3.15,173000.0
1977-07-07,3.15,3.15,3.12,3.13,227400.0
1977-07-08,3.13,3.14,3.12,3.13,150500.0
1977-07-11,3.13,3.13,3.12,3.13,86900.0
1977-07-12,3.13,3.23,3.13,3.23,418500.0
1977-07-13,3.23,3.32,3.23,3.32,610600.0
1977-07-15,3.32,3.34,3.28,3.32,325100.0
1977-07-18,3.32,3.32,3.24,3.29,320300.0
1977-07-19,3.29,3.35,3.29,3.34,276200.0
1977-07-20,3.37,3.42,3.37,3.42,625000.0
1977-07-21,3.42,3.46,3.37,3.45,289600.0
1977-07-22,3.46,3.49,3.46,3.46,290500.0
1977-07-25,3.46,3.49,3.37,3.39,192800.0
1977-07-26,3.39,3.41,3.37,3.4,132200.0
1977-07-27,3.4,3.4,3.31,3.32,169400.0
1977-07-28,3.32,3.36,3.3,3.33,218100.0
1977-07-29,3.33,3.34,3.28,3.33,143400.0
1977-08-01,3.33,3.37,3.32,3.34,117200.0
1977-08-02,3.33,3.33,3.29,3.29,107700.0
1977-08-03,3.29,3.32,3.26,3.31,184400.0
1977-08-04,3.32,3.38,3.32,3.37,90600.0
1977-08-05,3.38,3.43,3.38,3.42,264800.0
1977-08-08,3.42,3.43,3.36,3.39,115800.0
1977-08-09,3.42,3.44,3.42,3.42,349700.0
1977-08-10,3.42,3.55,3.42,3.55,614700.0
1977-08-11,3.55,3.55,3.47,3.48,412800.0
1977-08-12,3.48,3.53,3.46,3.52,326700.0
1977-08-15,3.52,3.61,3.51,3.6,215600.0
1977-08-16,3.6,3.61,3.55,3.56,414600.0
1977-08-17,3.56,3.61,3.56,3.56,318500.0
1977-08-18,3.57,3.62,3.57,3.59,294800.0
1977-08-19,3.59,3.6,3.54,3.59,176000.0
1977-08-22,3.59,3.65,3.58,3.64,337600.0
1977-08-23,3.64,3.66,3.62,3.64,360400.0
1977-08-24,3.63,3.63,3.59,3.59,255900.0
1977-08-25,3.59,3.61,3.53,3.55,196000.0
1977-08-26,3.55,3.56,3.51,3.56,268200.0
1977-08-29,3.58,3.6,3.57,3.59,155700.0
1977-08-30,3.59,3.61,3.51,3.52,138600.0
1977-08-31,3.52,3.53,3.39,3.5,221300.0
1977-09-01,3.52,3.54,3.52,3.53,191900.0
1977-09-02,3.53,3.58,3.52,3.58,199000.0
1977-09-06,3.58,3.62,3.57,3.57,144100.0
1977-09-07,3.57,3.58,3.55,3.57,237400.0
1977-09-08,3.57,3.57,3.5,3.52,275900.0
1977-09-09,3.51,3.51,3.46,3.47,120200.0
1977-09-12,3.47,3.47,3.43,3.45,150700.0
1977-09-13,3.45,3.47,3.45,3.46,74600.0
1977-09-14,3.47,3.52,3.47,3.51,112700.0
1977-09-15,3.51,3.53,3.51,3.53,171400.0
1977-09-16,3.53,3.55,3.5,3.52,168900.0
1977-09-19,3.52,3.52,3.48,3.49,169800.0
1977-09-20,3.49,3.51,3.47,3.49,209700.0
1977-09-21,3.49,3.52,3.45,3.46,174800.0
1977-09-22,3.46,3.51,3.46,3.47,186400.0
1977-09-23,3.47,3.5,3.46,3.46,77600.0
1977-09-26,3.46,3.5,3.44,3.5,134700.0
1977-09-27,3.5,3.53,3.47,3.51,226100.0
1977-09-28,3.51,3.58,3.51,3.54,149800.0
1977-09-29,3.54,3.57,3.53,3.54,101500.0
1977-09-30,3.56,3.57,3.56,3.57,237200.0
1977-10-03,3.57,3.63,3.57,3.63,432400.0
1977-10-04,3.63,3.66,3.57,3.57,338800.0
1977-10-05,3.57,3.6,3.52,3.54,349200.0
1977-10-06,3.54,3.57,3.53,3.55,123800.0
1977-10-07,3.55,3.57,3.53,3.54,67800.0
1977-10-10,3.54,3.56,3.52,3.55,70300.0
1977-10-11,3.55,3.57,3.51,3.51,86000.0
1977-10-12,3.5,3.5,3.45,3.47,202600.0
1977-10-13,3.47,3.49,3.44,3.48,275200.0
1977-10-14,3.48,3.51,3.42,3.45,132500.0
1977-10-17,3.45,3.49,3.43,3.47,97400.0
1977-10-18,3.47,3.51,3.47,3.49,179800.0
1977-10-19,3.47,3.47,3.27,3.29,704000.0
1977-10-20,3.29,3.32,3.24,3.29,378800.0
1977-10-21,3.29,3.31,3.27,3.31,205800.0
1977-10-24,3.31,3.33,3.27,3.27,179600.0
1977-10-25,3.27,3.27,3.21,3.26,232200.0
1977-10-26,3.26,3.32,3.22,3.3,281600.0
1977-10-27,3.31,3.39,3.31,3.33,304200.0
1977-10-28,3.33,3.33,3.29,3.32,283400.0
1977-10-31,3.32,3.34,3.28,3.29,100600.0
1977-11-01,3.27,3.27,3.22,3.25,149500.0
1977-11-02,3.17,3.17,3.1,3.14,719000.0
1977-11-03,3.14,3.17,3.12,3.15,227200.0
1977-11-04,3.15,3.19,3.15,3.18,159800.0
1977-11-07,3.18,3.22,3.17,3.18,154600.0
1977-11-08,3.18,3.18,3.13,3.16,167300.0
1977-11-09,3.16,3.17,3.13,3.17,136600.0
1977-11-10,3.17,3.27,3.17,3.27,204200.0
1977-11-11,3.29,3.33,3.29,3.32,262900.0
1977-11-14,3.32,3.32,3.25,3.27,170500.0
1977-11-15,3.27,3.35,3.27,3.29,198300.0
1977-11-16,3.29,3.31,3.28,3.3,150500.0
1977-11-17,3.3,3.3,3.26,3.27,211000.0
1977-11-18,3.27,3.28,3.23,3.24,167300.0
1977-11-21,3.24,3.26,3.2,3.23,130400.0
1977-11-22,3.25,3.32,3.25,3.31,158700.0
1977-11-23,3.31,3.35,3.31,3.35,247500.0
1977-11-25,3.35,3.36,3.3,3.34,94200.0
1977-11-28,3.36,3.36,3.29,3.3,118400.0
1977-11-29,3.28,3.28,3.18,3.19,208300.0
1977-11-30,3.19,3.2,3.16,3.18,256600.0
1977-12-01,3.18,3.19,3.16,3.17,180300.0
1977-12-02,3.17,3.18,3.15,3.16,84200.0
1977-12-05,3.16,3.18,3.12,3.12,187600.0
1977-12-06,3.11,3.11,3.03,3.06,227200.0
1977-12-07,3.06,3.09,3.03,3.09,252500.0
1977-12-08,3.09,3.13,3.07,3.1,224900.0
1977-12-09,3.1,3.13,3.1,3.13,145700.0
1977-12-12,3.13,3.16,3.07,3.07,155000.0
1977-12-13,3.07,3.08,3.05,3.07,272300.0
1977-12-14,3.07,3.08,3.02,3.07,289800.0
1977-12-15,3.07,3.1,3.06,3.06,225800.0
1977-12-16,3.06,3.07,3.02,3.07,206500.0
1977-12-19,3.07,3.07,3.02,3.02,213500.0
1977-12-20,3.02,3.02,2.99,3.02,242700.0
1977-12-21,3.02,3.06,3.02,3.05,318000.0
1977-12-22,3.08,3.14,3.08,3.14,326900.0
1977-12-23,3.16,3.22,3.16,3.22,291200.0
1977-12-27,3.22,3.23,3.19,3.22,196900.0
1977-12-28,3.21,3.21,3.18,3.18,125200.0
1977-12-29,3.18,3.23,3.16,3.2,466500.0
1977-12-30,3.2,3.2,3.13,3.13,213500.0
1978-01-03,3.13,3.14,3.06,3.07,416600.0
1978-01-04,3.07,3.11,3.04,3.1,247900.0
1978-01-05,3.1,3.14,3.03,3.03,643200.0
1978-01-06,3.03,3.07,3.0,3.06,235400.0
1978-01-09,3.04,3.04,3.0,3.02,237000.0
1978-01-10,3.02,3.05,3.02,3.04,135900.0
1978-01-11,3.04,3.07,3.0,3.02,217900.0
1978-01-12,3.02,3.06,3.02,3.02,230600.0
1978-01-13,3.02,3.04,3.01,3.02,95100.0
1978-01-16,3.02,3.03,2.99,3.01,144800.0
1978-01-17,3.02,3.08,3.02,3.08,161200.0
1978-01-18,3.07,3.07,3.03,3.07,316500.0
1978-01-19,3.07,3.07,3.02,3.02,114500.0
1978-01-20,3.02,3.02,2.98,3.0,87400.0
1978-01-23,2.98,2.98,2.92,2.95,245200.0
1978-01-24,2.95,2.98,2.94,2.97,229700.0
1978-01-25,2.97,3.01,2.97,2.98,286200.0
1978-01-26,2.98,3.01,2.92,2.93,150700.0
1978-01-27,2.93,2.99,2.93,2.96,137500.0
1978-01-30,2.96,3.01,2.95,3.0,157700.0
1978-01-31,3.0,3.02,2.98,3.02,157300.0
1978-02-01,3.02,3.08,3.02,3.07,197100.0
1978-02-02,3.07,3.11,3.07,3.07,213800.0
1978-02-03,3.07,3.07,3.0,3.0,220400.0
1978-02-06,3.0,3.02,2.98,3.02,74600.0
1978-02-07,3.02,3.1,3.02,3.1,107400.0
1978-02-08,3.11,3.14,3.11,3.12,110800.0
1978-02-09,3.12,3.13,3.1,3.1,101700.0
1978-02-10,3.1,3.11,3.07,3.07,68300.0
1978-02-13,3.07,3.09,3.06,3.07,81500.0
1978-02-14,3.07,3.07,3.02,3.04,94000.0
1978-02-15,3.04,3.04,3.0,3.03,192600.0
1978-02-16,3.01,3.01,2.98,2.99,167100.0
1978-02-17,3.0,3.02,3.0,3.01,135400.0
1978-02-21,3.01,3.01,2.97,2.98,168900.0
1978-02-22,2.98,3.01,2.97,2.97,269800.0
1978-02-23,2.97,2.97,2.89,2.92,180100.0
1978-02-24,2.92,2.95,2.92,2.92,163400.0
1978-02-27,2.96,2.96,2.8,2.8,338500.0
1978-02-28,2.8,2.8,2.75,2.78,255000.0
1978-03-01,2.78,2.83,2.76,2.81,188000.0
1978-03-02,2.81,2.85,2.8,2.85,262500.0
1978-03-03,2.85,2.89,2.84,2.87,182300.0
1978-03-06,2.87,2.87,2.8,2.8,194600.0
1978-03-07,2.8,2.84,2.79,2.83,116100.0
1978-03-08,2.83,2.85,2.82,2.85,119500.0
1978-03-09,2.85,2.88,2.83,2.86,403700.0
1978-03-10,2.86,2.93,2.86,2.93,298900.0
1978-03-13,2.93,2.97,2.9,2.92,183500.0
1978-03-14,2.92,2.97,2.89,2.97,140900.0
1978-03-15,2.97,2.97,2.92,2.92,227900.0
1978-03-16,2.92,2.92,2.88,2.92,140900.0
1978-03-17,2.92,2.94,2.9,2.94,123400.0
1978-03-20,2.94,2.95,2.92,2.92,106500.0
1978-03-21,2.92,2.92,2.86,2.86,170000.0
1978-03-22,2.86,2.89,2.85,2.87,161400.0
1978-03-23,2.87,2.89,2.86,2.87,282500.0
1978-03-27,2.87,2.87,2.85,2.86,71400.0
1978-03-28,2.86,2.88,2.85,2.87,101300.0
1978-03-29,2.87,2.88,2.86,2.87,105100.0
1978-03-30,2.86,2.86,2.85,2.86,100800.0
1978-03-31,2.85,2.85,2.83,2.84,105400.0
1978-04-03,2.84,2.84,2.8,2.8,89900.0
1978-04-04,2.8,2.83,2.79,2.83,162800.0
1978-04-05,2.83,2.88,2.81,2.86,168700.0
1978-04-06,2.86,2.92,2.86,2.88,320600.0
1978-04-07,2.88,2.93,2.88,2.92,129500.0
1978-04-10,2.92,2.95,2.9,2.92,105400.0
1978-04-11,2.92,2.93,2.89,2.92,134100.0
1978-04-12,2.92,2.95,2.92,2.93,118400.0
1978-04-13,2.93,3.02,2.93,3.02,266800.0
1978-04-14,3.05,3.14,3.05,3.14,582000.0
1978-04-17,3.21,3.27,3.21,3.24,590600.0
1978-04-18,3.24,3.24,3.13,3.14,370900.0
1978-04-19,3.14,3.21,3.14,3.21,296400.0
1978-04-20,3.23,3.26,3.23,3.24,515200.0
1978-04-21,3.23,3.23,3.2,3.2,177800.0
1978-04-24,3.2,3.29,3.19,3.29,331000.0
1978-04-25,3.31,3.36,3.31,3.32,507500.0
1978-04-26,3.34,3.42,3.34,3.38,481800.0
1978-04-27,3.35,3.35,3.26,3.29,392300.0
1978-04-28,3.29,3.34,3.25,3.33,246800.0
1978-05-01,3.33,3.41,3.3,3.41,383900.0
1978-05-02,3.38,3.38,3.33,3.36,264100.0
1978-05-03,3.36,3.36,3.28,3.28,145500.0
1978-05-04,3.28,3.28,3.2,3.25,374100.0
1978-05-05,3.25,3.31,3.25,3.28,334700.0
1978-05-08,3.28,3.34,3.27,3.28,184400.0
1978-05-09,3.28,3.29,3.21,3.25,209000.0
1978-05-10,3.25,3.28,3.24,3.27,288400.0
1978-05-11,3.27,3.38,3.27,3.38,294800.0
1978-05-12,3.38,3.47,3.38,3.42,730900.0
1978-05-15,3.42,3.56,3.42,3.56,446200.0
1978-05-16,3.58,3.68,3.58,3.64,1405500.0
1978-05-17,3.64,3.66,3.59,3.63,628900.0
1978-05-18,3.63,3.64,3.57,3.58,848800.0
1978-05-19,3.58,3.59,3.54,3.57,507300.0
1978-05-22,3.57,3.66,3.55,3.66,484500.0
1978-05-23,3.65,3.65,3.56,3.58,208800.0
1978-05-24,3.56,3.56,3.52,3.53,312400.0
1978-05-25,3.57,3.59,3.53,3.56,436700.0
1978-05-26,3.56,3.58,3.55,3.58,175500.0
1978-05-30,3.58,3.58,3.55,3.56,139100.0
1978-05-31,3.58,3.62,3.58,3.59,358300.0
1978-06-01,3.59,3.6,3.58,3.58,145200.0
1978-06-02,3.59,3.67,3.59,3.66,245000.0
1978-06-05,3.67,3.77,3.67,3.74,781900.0
1978-06-06,3.74,3.79,3.66,3.66,382900.0
1978-06-07,3.7,3.77,3.7,3.73,362200.0
1978-06-08,3.73,3.79,3.73,3.77,444900.0
1978-06-09,3.77,3.82,3.74,3.8,333100.0
1978-06-12,3.8,3.85,3.79,3.79,518900.0
1978-06-13,3.79,3.84,3.76,3.84,248600.0
1978-06-14,3.84,3.88,3.83,3.84,547300.0
1978-06-15,3.83,3.83,3.79,3.79,166400.0
1978-06-16,3.78,3.78,3.68,3.7,250900.0
1978-06-19,3.68,3.68,3.59,3.63,212600.0
1978-06-20,3.63,3.64,3.58,3.58,217200.0
1978-06-21,3.58,3.58,3.53,3.55,254100.0
1978-06-22,3.55,3.59,3.54,3.55,251100.0
1978-06-23,3.55,3.58,3.44,3.44,240900.0
1978-06-26,3.44,3.49,3.43,3.47,160900.0
1978-06-27,3.47,3.57,3.46,3.56,278700.0
1978-06-28,3.56,3.63,3.54,3.61,233800.0
1978-06-29,3.61,3.7,3.61,3.62,207400.0
1978-06-30,3.62,3.62,3.59,3.59,99900.0
