Date,Open,High,Low,Close,Volume
1997-09-17,3.92,4.12,3.92,3.97,29185400
1997-09-18,4.02,4.1,3.99,4.1,6731800
1997-09-19,4.1,4.22,4.1,4.12,3440200
1997-09-22,4.09,4.14,4.08,4.09,5831000
1997-09-23,4.09,4.1,4.08,4.09,2738600
1997-09-24,4.1,4.1,4.08,4.09,2575500
1997-09-25,4.09,4.15,4.09,4.15,1005900
1997-09-26,4.14,4.26,4.13,4.25,1636300
1997-09-29,4.26,4.31,4.26,4.31,1708100
1997-09-30,4.35,4.55,4.34,4.41,4639200
1997-10-01,4.42,4.42,4.22,4.22,3525900
1997-10-02,4.24,4.25,4.16,4.21,1870600
1997-10-03,4.25,4.29,4.22,4.27,2065300
1997-10-06,4.25,4.39,4.25,4.36,7842400
1997-10-07,4.39,4.46,4.17,4.24,21602200
1997-10-08,4.24,4.26,4.16,4.18,16664700
1997-10-09,4.17,4.36,4.1,4.35,12844400
1997-10-10,4.21,4.35,4.19,4.3,10308900
1997-10-13,4.31,4.37,4.3,4.37,10520900
1997-10-14,4.33,4.42,4.33,4.34,17077000
1997-10-15,4.24,4.33,4.24,4.33,9048700
1997-10-16,4.36,4.38,4.29,4.33,9002500
1997-10-17,4.26,4.27,4.13,4.25,6431400
1997-10-20,4.23,4.42,4.23,4.39,7995400
1997-10-21,4.36,4.66,4.36,4.57,9219500
1997-10-22,4.5,4.55,4.44,4.5,5610700
1997-10-23,4.43,4.5,4.39,4.5,7688800
1997-10-24,4.5,4.53,4.42,4.5,5598400
1997-10-27,4.43,4.44,4.17,4.24,6699000
1997-10-28,4.1,4.31,3.97,4.21,4660400
1997-10-29,4.23,4.29,4.11,4.13,3286000
1997-10-30,3.97,4.11,3.97,4.02,4901800
1997-10-31,4.02,4.16,4.01,4.13,5334200
1997-11-03,4.16,4.19,4.1,4.16,5457100
1997-11-04,4.12,4.16,4.07,4.1,5849900
1997-11-05,4.09,4.16,4.07,4.11,6204900
1997-11-06,4.12,4.36,4.1,4.31,6185400
1997-11-07,4.29,4.42,4.22,4.36,6055800
1997-11-10,4.39,4.68,4.38,4.61,5481600
1997-11-11,4.46,4.58,4.46,4.56,4125100
1997-11-12,4.53,4.56,4.47,4.47,4147400
1997-11-13,4.49,4.59,4.49,4.56,6960000
1997-11-14,4.67,4.9,4.65,4.8,11075600
1997-11-17,4.84,4.94,4.8,4.81,5030400
1997-11-18,4.79,4.81,4.58,4.61,5827100
1997-11-19,4.58,4.67,4.55,4.63,6024100
1997-11-20,4.63,4.67,4.62,4.65,6341200
1997-11-21,4.64,4.72,4.63,4.7,3088000
1997-11-24,4.63,4.7,4.56,4.56,3880800
1997-11-25,4.57,4.59,4.43,4.46,3297700
1997-11-26,4.43,4.55,4.43,4.52,2655100
1997-11-28,4.51,4.63,4.51,4.61,1168900
1997-12-01,4.68,4.68,4.61,4.63,3024000
1997-12-02,4.67,4.67,4.58,4.64,4351600
1997-12-03,4.63,4.73,4.63,4.73,2006900
1997-12-04,4.77,4.83,4.73,4.74,4566300
1997-12-05,4.74,4.75,4.7,4.72,3969900
1997-12-08,4.68,4.76,4.67,4.7,2142600
1997-12-09,4.65,4.7,4.64,4.66,1943500
1997-12-10,4.63,4.63,4.32,4.39,8938500
1997-12-11,4.31,4.33,4.21,4.24,6056900
1997-12-12,4.25,4.26,4.12,4.14,4678200
1997-12-15,4.1,4.19,4.1,4.11,9977300
1997-12-16,4.09,4.21,4.09,4.19,10624400
1997-12-17,4.2,4.27,4.11,4.14,6991100
1997-12-18,4.1,4.11,4.03,4.07,2701800
1997-12-19,4.05,4.09,4.04,4.06,2821500
1997-12-22,4.09,4.1,4.0,4.06,2253900
1997-12-23,4.03,4.04,3.86,3.87,4369900
1997-12-24,3.83,3.93,3.8,3.92,2143800
1997-12-26,3.9,3.91,3.86,3.86,1234600
1997-12-29,3.82,3.95,3.81,3.87,2182200
1997-12-30,3.87,4.03,3.86,3.99,2689600
1997-12-31,3.96,3.98,3.92,3.96,4221900
1998-01-02,3.96,3.99,3.87,3.97,2959400
1998-01-05,3.97,3.99,3.8,3.85,6857600
1998-01-06,3.8,3.8,3.67,3.69,8561800
1998-01-07,3.66,3.78,3.63,3.68,6014100
1998-01-08,3.61,3.64,3.51,3.53,5433200
1998-01-09,3.53,3.67,3.51,3.54,9729700
1998-01-12,3.42,3.6,3.41,3.56,5332500
1998-01-13,3.53,3.59,3.51,3.56,4983100
1998-01-14,3.57,3.65,3.48,3.56,3789000
1998-01-15,3.54,3.66,3.51,3.64,8781100
1998-01-16,3.63,3.68,3.62,3.67,3096300
1998-01-20,3.66,3.78,3.64,3.78,3917600
1998-01-21,3.75,3.75,3.7,3.73,2364100
1998-01-22,3.73,3.74,3.68,3.7,2860400
1998-01-23,3.68,3.7,3.62,3.64,3316700
1998-01-26,3.61,3.67,3.59,3.63,2470900
1998-01-27,3.58,3.63,3.54,3.62,4726600
1998-01-28,3.61,3.73,3.59,3.73,5433800
1998-01-29,3.7,3.82,3.68,3.74,4290400
1998-01-30,3.71,3.73,3.67,3.72,8328700
1998-02-02,3.76,3.88,3.76,3.8,5422100
1998-02-03,3.76,3.78,3.75,3.76,4089500
1998-02-04,3.75,3.88,3.73,3.87,5250700
1998-02-05,3.82,3.87,3.8,3.81,3081800
1998-02-06,3.78,3.92,3.78,3.91,2731300
1998-02-09,3.85,3.88,3.79,3.85,2132100
1998-02-10,3.83,3.9,3.78,3.87,1987400
1998-02-11,3.85,3.86,3.77,3.84,2884300
1998-02-12,3.83,3.87,3.71,3.75,6395200
1998-02-13,3.75,3.95,3.68,3.71,8251900
1998-02-17,3.54,3.64,3.54,3.64,6316800
1998-02-18,3.59,3.61,3.54,3.56,7292100
1998-02-19,3.56,3.76,3.55,3.69,6105300
1998-02-20,3.72,3.72,3.62,3.64,2455300
1998-02-23,3.7,3.7,3.61,3.63,3196500
1998-02-24,3.61,3.74,3.61,3.7,2959400
1998-02-25,3.68,3.71,3.65,3.68,2206100
1998-02-26,3.68,3.85,3.67,3.81,4065000
1998-02-27,3.81,3.88,3.81,3.88,2844300
1998-03-02,3.87,4.02,3.86,4.01,4300900
1998-03-03,3.94,4.04,3.92,4.02,2805900
1998-03-04,3.99,4.09,3.98,4.09,2506500
1998-03-05,4.02,4.09,3.97,4.09,3213700
1998-03-06,4.07,4.08,3.95,4.02,3149200
1998-03-09,4.0,4.02,3.87,3.92,2309600
1998-03-10,3.9,3.99,3.89,3.98,2395800
1998-03-11,4.01,4.05,3.97,4.04,3306100
1998-03-12,4.05,4.13,4.04,4.05,4915700
1998-03-13,4.07,4.1,4.04,4.04,3125200
1998-03-16,4.05,4.1,4.03,4.06,3234300
1998-03-17,4.04,4.09,4.04,4.07,3366700
1998-03-18,4.04,4.06,3.97,3.98,2618900
1998-03-19,3.97,4.05,3.95,4.03,7757300
1998-03-20,4.05,4.22,4.03,4.17,2872600
1998-03-23,4.1,4.12,4.06,4.07,2314000
1998-03-24,4.07,4.19,4.05,4.17,2778100
1998-03-25,4.16,4.29,4.15,4.16,4422200
1998-03-26,4.19,4.19,4.1,4.1,2099200
1998-03-27,4.12,4.16,4.04,4.1,2399700
1998-03-30,4.09,4.1,4.02,4.03,3722300
1998-03-31,4.03,4.12,4.03,4.1,2599500
1998-04-01,4.1,4.29,4.1,4.29,2370200
1998-04-02,4.26,4.39,4.22,4.28,4214700
1998-04-03,4.28,4.39,4.26,4.39,2722400
1998-04-06,4.39,4.39,4.26,4.28,2256200
1998-04-07,4.24,4.26,4.1,4.14,2091500
1998-04-08,4.11,4.21,4.07,4.1,1757100
1998-04-09,4.1,4.22,4.09,4.19,1473300
1998-04-13,4.16,4.18,4.12,4.17,1655800
1998-04-14,4.19,4.19,4.15,4.17,2405300
1998-04-15,4.16,4.36,4.16,4.32,2004100
1998-04-16,4.32,4.33,4.21,4.27,1918400
1998-04-17,4.29,4.31,4.21,4.28,1353700
1998-04-20,4.26,4.32,4.22,4.31,1446600
1998-04-21,4.27,4.29,4.23,4.28,1456600
1998-04-22,4.26,4.5,4.26,4.47,2298400
1998-04-23,4.45,4.5,4.43,4.46,3185900
1998-04-24,4.44,4.48,4.38,4.41,2429200
1998-04-27,4.31,4.31,4.16,4.25,4104500
1998-04-28,4.27,4.29,4.19,4.22,3814600
1998-04-29,4.26,4.31,4.24,4.27,2583900
1998-04-30,4.31,4.37,4.27,4.33,2323500
1998-05-01,4.33,4.33,4.24,4.27,1453300
1998-05-04,4.27,4.3,4.21,4.22,1508900
1998-05-05,4.19,4.26,4.16,4.24,2415300
1998-05-06,4.21,4.28,4.18,4.21,3022900
1998-05-07,4.2,4.2,4.1,4.1,1500000
1998-05-08,4.1,4.16,4.1,4.12,1850000
1998-05-11,4.11,4.16,4.11,4.13,1936200
1998-05-12,4.14,4.21,4.13,4.21,1139500
1998-05-13,4.19,4.27,4.17,4.22,1136700
1998-05-14,4.21,4.27,4.21,4.26,1480000
1998-05-15,4.26,4.33,4.23,4.3,2328500
1998-05-18,4.29,4.34,4.29,4.33,2768600
1998-05-19,4.31,4.39,4.31,4.37,2048600
1998-05-20,4.36,4.39,4.3,4.31,4564100
1998-05-21,4.31,4.33,4.22,4.25,1527300
1998-05-22,4.22,4.29,4.19,4.23,1523900
1998-05-26,4.26,4.26,4.21,4.21,1811600
1998-05-27,4.16,4.19,4.07,4.11,1680800
1998-05-28,4.11,4.21,4.11,4.21,3074600
1998-05-29,4.21,4.28,4.21,4.23,1669700
1998-06-01,4.23,4.4,4.22,4.39,2243400
1998-06-02,4.39,4.5,4.29,4.46,2516000
1998-06-03,4.46,4.47,4.39,4.41,1722600
1998-06-04,4.39,4.44,4.35,4.39,3555300
1998-06-05,4.39,4.45,4.39,4.42,955300
1998-06-08,4.42,4.45,4.41,4.44,1747600
1998-06-09,4.41,4.51,4.39,4.51,2554900
1998-06-10,4.48,4.54,4.39,4.39,2174400
1998-06-11,4.42,4.42,4.22,4.22,2917200
1998-06-12,4.22,4.27,4.16,4.21,1684700
1998-06-15,4.19,4.21,4.07,4.09,1996300
1998-06-16,4.1,4.12,4.03,4.08,2587200
1998-06-17,4.1,4.25,4.09,4.24,3808000
1998-06-18,4.24,4.27,4.22,4.24,1754300
1998-06-19,4.26,4.28,4.24,4.25,2050300
1998-06-22,4.25,4.36,4.23,4.29,3045700
1998-06-23,4.33,4.4,4.3,4.33,2877100
1998-06-24,4.33,4.63,4.33,4.56,3163600
1998-06-25,4.56,4.62,4.5,4.59,3061300
1998-06-26,4.59,4.59,4.43,4.43,677100
1998-06-29,4.43,4.55,4.43,4.55,1963500
1998-06-30,4.51,4.53,4.26,4.32,2584400
1998-07-01,4.35,4.45,4.33,4.44,3996600
1998-07-02,4.45,4.48,4.39,4.42,2640100
1998-07-06,4.41,4.57,4.33,4.57,1831600
1998-07-07,4.51,4.65,4.44,4.45,5698000
1998-07-08,4.45,4.51,4.37,4.51,2053600
1998-07-09,4.5,4.56,4.46,4.48,2034100
1998-07-10,4.5,4.51,4.44,4.5,1691400
1998-07-13,4.48,4.56,4.46,4.5,1579600
1998-07-14,4.48,4.58,4.48,4.56,3708400
1998-07-15,4.56,4.65,4.56,4.62,4322600
1998-07-16,4.6,4.8,4.59,4.8,5022000
1998-07-17,4.77,4.82,4.76,4.82,2823100
1998-07-20,4.79,4.91,4.75,4.89,1763700
1998-07-21,4.8,4.9,4.79,4.79,1590700
1998-07-22,4.76,4.8,4.67,4.8,1990200
1998-07-23,4.77,4.82,4.75,4.75,2571600
1998-07-24,4.74,4.85,4.73,4.77,2717400
1998-07-27,4.78,5.02,4.72,5.0,4641400
1998-07-28,5.02,5.02,4.77,4.91,5403200
1998-07-29,4.91,4.96,4.85,4.89,2191600
1998-07-30,4.92,5.01,4.91,4.97,1922900
1998-07-31,4.97,4.97,4.77,4.82,1341400
1998-08-03,4.79,4.87,4.7,4.84,2472600
1998-08-04,4.84,4.86,4.63,4.7,2019700
1998-08-05,4.63,4.7,4.5,4.68,1651300
1998-08-06,4.63,4.68,4.59,4.62,973700
1998-08-07,4.58,4.65,4.57,4.61,948600
1998-08-10,4.63,4.74,4.56,4.7,1389800
1998-08-11,4.63,4.65,4.5,4.62,1168900
1998-08-12,4.6,4.82,4.53,4.8,1565700
1998-08-13,4.77,4.79,4.64,4.64,1518400
1998-08-14,4.64,4.71,4.63,4.67,1860000
1998-08-17,4.63,4.63,4.09,4.33,5123800
1998-08-18,4.32,4.43,4.3,4.43,2165500
1998-08-19,4.5,5.15,4.49,5.04,11257000
1998-08-20,5.04,5.4,5.0,5.4,9223900
1998-08-21,5.18,5.21,5.13,5.16,7011700
1998-08-24,5.19,5.42,5.19,5.36,3742900
1998-08-25,5.52,5.55,5.48,5.55,5150500
1998-08-26,5.38,5.46,5.29,5.46,4051700
1998-08-27,5.35,5.42,5.19,5.31,5066500
1998-08-28,5.21,5.3,5.15,5.22,2245600
1998-08-31,5.21,5.23,4.98,5.05,4133400
1998-09-01,5.04,5.43,5.0,5.39,5655200
1998-09-02,5.38,5.42,5.28,5.32,6825900
1998-09-03,5.25,5.25,5.14,5.19,3346100
1998-09-04,5.18,5.19,4.97,5.08,2842000
1998-09-08,5.35,5.36,5.28,5.36,3324400
1998-09-09,5.37,5.38,5.3,5.3,3597100
1998-09-10,5.19,5.19,4.84,5.07,2013600
1998-09-11,5.01,5.19,4.98,5.18,1658000
1998-09-14,5.19,5.32,5.19,5.27,2290100
1998-09-15,5.3,5.31,5.13,5.14,1455500
1998-09-16,5.13,5.3,5.12,5.3,3767900
1998-09-17,5.27,5.31,5.21,5.26,2035300
1998-09-18,5.31,5.36,5.26,5.35,2023600
