mean,std,episode,x
-0.007, 0.655, 1, 
-0.018, 0.448, 2, 
-0.006, 0.918, 3, 
0.003, 0.499, 4, 
0.002, 0.516, 5, 
0.008, 0.383, 6, 
0.001, 0.323, 7, 
-0.003, 0.353, 8, 
-0.005, 0.609, 9, 
0.002, 0.472, 10, 
0.006, 0.535, 11, 
0.007, 0.669, 12, 
-0.010, 0.546, 13, 
0.001, 0.498, 14, 
0.007, 1.037, 15, 
0.005, 0.454, 16, 
0.008, 0.590, 17, 
0.022, 0.616, 18, 
-0.008, 0.340, 19, 
-0.000, 0.406, 20, 
0.002, 0.832, 21, 
-0.005, 0.328, 22, 
0.003, 0.518, 23, 
0.003, 0.467, 24, 
0.014, 0.487, 25, 
0.002, 0.438, 26, 
0.002, 0.442, 27, 
0.011, 0.548, 28, 
-0.004, 0.505, 29, 
0.005, 0.326, 30, 
0.013, 0.357, 31, 
-0.014, 0.661, 32, 
0.005, 0.593, 33, 
-0.005, 0.301, 34, 
0.003, 0.506, 35, 
0.009, 0.846, 36, 
-0.002, 0.883, 37, 
0.003, 0.404, 38, 
0.006, 0.480, 39, 
-0.008, 0.687, 40, 
-0.002, 0.396, 41, 
-0.001, 0.557, 42, 
0.007, 0.588, 43, 
0.014, 0.443, 44, 
0.008, 0.300, 45, 
0.013, 0.541, 46, 
0.008, 0.678, 47, 
-0.001, 0.424, 48, 
0.005, 0.460, 49, 
0.009, 0.522, 50, 
-0.003, 0.616, 51, 
0.007, 0.818, 52, 
-0.005, 0.832, 53, 
-0.002, 0.747, 54, 
0.009, 0.341, 55, 
-0.008, 0.847, 56, 
0.018, 0.483, 57, 
0.028, 0.753, 58, 
0.014, 0.518, 59, 
0.027, 0.589, 60, 
0.006, 0.663, 61, 
-0.007, 0.567, 62, 
-0.005, 0.459, 63, 
0.009, 0.622, 64, 
0.013, 0.418, 65, 
0.002, 0.492, 66, 
0.009, 0.800, 67, 
0.024, 1.200, 68, 
0.010, 0.483, 69, 
0.004, 0.901, 70, 
0.016, 0.660, 71, 
0.005, 0.482, 72, 
0.008, 0.511, 73, 
0.002, 0.532, 74, 
0.020, 0.711, 75, 
-0.003, 0.509, 76, 
0.003, 0.449, 77, 
0.014, 0.535, 78, 
0.012, 0.679, 79, 
0.004, 0.810, 80, 
0.027, 0.524, 81, 
0.003, 0.472, 82, 
0.016, 0.654, 83, 
0.012, 0.488, 84, 
0.019, 0.592, 85, 
0.010, 0.777, 86, 
0.006, 0.701, 87, 
0.009, 0.544, 88, 
-0.000, 0.636, 89, 
0.033, 0.667, 90, 
-0.001, 0.690, 91, 
0.000, 0.598, 92, 
0.011, 0.791, 93, 
0.023, 0.609, 94, 
0.012, 0.814, 95, 
0.022, 0.809, 96, 
0.010, 0.599, 97, 
0.007, 0.387, 98, 
0.013, 0.873, 99, 
0.022, 0.764, 100, 
0.020, 0.566, 101, 
0.010, 0.512, 102, 
-0.004, 0.583, 103, 
0.011, 0.515, 104, 
0.025, 0.548, 105, 
0.031, 0.441, 106, 
-0.008, 0.555, 107, 
0.018, 0.632, 108, 
0.025, 0.780, 109, 
0.027, 0.598, 110, 
0.017, 0.751, 111, 
0.018, 0.378, 112, 
0.020, 0.575, 113, 
0.024, 0.883, 114, 
0.037, 0.582, 115, 
0.007, 0.818, 116, 
0.021, 0.635, 117, 
0.018, 0.608, 118, 
0.029, 1.746, 119, 
0.033, 0.590, 120, 
0.019, 0.500, 121, 
