mean,std,episode,x
-0.022, 0.770, 1, 
-0.001, 0.967, 2, 
-0.030, 1.162, 3, 
-0.014, 1.058, 4, 
0.015, 0.715, 5, 
0.026, 1.168, 6, 
0.027, 1.519, 7, 
-0.016, 0.984, 8, 
-0.009, 0.750, 9, 
0.011, 1.024, 10, 
0.006, 0.586, 11, 
-0.021, 1.132, 12, 
0.001, 0.795, 13, 
0.005, 0.679, 14, 
0.007, 1.098, 15, 
-0.000, 1.025, 16, 
0.002, 1.162, 17, 
0.025, 1.060, 18, 
0.020, 1.111, 19, 
0.016, 1.002, 20, 
0.013, 0.777, 21, 
0.012, 0.671, 22, 
0.014, 0.798, 23, 
0.002, 1.110, 24, 
0.018, 0.926, 25, 
0.007, 1.045, 26, 
0.021, 1.077, 27, 
-0.040, 0.861, 28, 
0.019, 1.173, 29, 
-0.005, 0.932, 30, 
0.026, 0.986, 31, 
0.040, 1.096, 32, 
0.019, 0.840, 33, 
0.007, 1.582, 34, 
0.004, 0.673, 35, 
-0.008, 1.016, 36, 
-0.007, 0.957, 37, 
0.040, 0.835, 38, 
0.017, 0.721, 39, 
0.013, 1.421, 40, 
0.010, 1.060, 41, 
0.018, 1.481, 42, 
0.024, 0.935, 43, 
0.029, 0.731, 44, 
0.002, 0.755, 45, 
0.006, 0.822, 46, 
0.019, 0.862, 47, 
0.008, 0.625, 48, 
0.009, 0.830, 49, 
-0.003, 0.708, 50, 
0.004, 1.152, 51, 
0.018, 0.693, 52, 
0.043, 0.714, 53, 
0.012, 1.076, 54, 
0.033, 1.296, 55, 
0.003, 0.859, 56, 
0.059, 1.403, 57, 
0.027, 1.042, 58, 
0.016, 0.546, 59, 
0.038, 0.762, 60, 
0.012, 0.791, 61, 
0.024, 0.842, 62, 
0.051, 1.121, 63, 
0.020, 0.713, 64, 
0.054, 1.173, 65, 
0.055, 1.122, 66, 
-0.004, 1.038, 67, 
0.020, 0.891, 68, 
0.028, 0.709, 69, 
0.021, 0.718, 70, 
0.024, 0.847, 71, 
0.003, 0.868, 72, 
0.030, 0.975, 73, 
0.031, 0.960, 74, 
0.013, 1.240, 75, 
-0.007, 1.257, 76, 
0.032, 0.959, 77, 
0.057, 1.608, 78, 
0.027, 1.651, 79, 
0.006, 0.931, 80, 
0.017, 0.790, 81, 
0.019, 0.975, 82, 
0.017, 0.919, 83, 
0.017, 1.330, 84, 
0.033, 0.853, 85, 
0.009, 1.167, 86, 
0.012, 1.198, 87, 
0.009, 0.598, 88, 
0.034, 0.718, 89, 
-0.006, 0.964, 90, 
0.018, 0.859, 91, 
0.040, 0.944, 92, 
0.019, 1.238, 93, 
-0.005, 1.693, 94, 
0.038, 0.909, 95, 
0.021, 1.031, 96, 
0.044, 1.261, 97, 
0.024, 1.431, 98, 
0.021, 1.223, 99, 
0.020, 1.155, 100, 
0.038, 0.677, 101, 
0.016, 1.113, 102, 
0.022, 0.795, 103, 
0.029, 0.826, 104, 
0.019, 1.020, 105, 
0.022, 0.772, 106, 
0.025, 0.923, 107, 
0.028, 0.799, 108, 
0.023, 0.824, 109, 
0.027, 1.252, 110, 
0.040, 1.959, 111, 
0.037, 1.288, 112, 
0.061, 1.335, 113, 
0.032, 1.103, 114, 
0.025, 1.011, 115, 
0.027, 0.724, 116, 
0.027, 1.234, 117, 
0.022, 0.899, 118, 
0.016, 1.821, 119, 
0.024, 0.785, 120, 
0.034, 1.018, 121, 
0.049, 1.013, 122, 
0.023, 0.557, 123, 
0.044, 0.877, 124, 
0.022, 1.220, 125, 
0.047, 0.860, 126, 
0.045, 1.275, 127, 
0.034, 0.972, 128, 
0.012, 1.360, 129, 
0.042, 1.537, 130, 
0.013, 0.909, 131, 
0.021, 0.713, 132, 
0.030, 0.796, 133, 
0.014, 0.586, 134, 
0.064, 1.006, 135, 
0.022, 1.250, 136, 
-0.007, 2.079, 137, 
0.049, 1.010, 138, 
0.023, 1.017, 139, 
0.070, 1.225, 140, 
0.037, 1.853, 141, 
0.028, 0.901, 142, 
0.033, 0.974, 143, 
0.037, 1.110, 144, 
0.046, 0.990, 145, 
0.040, 1.034, 146, 
0.045, 1.126, 147, 
0.038, 1.032, 148, 
0.050, 1.260, 149, 
0.045, 0.718, 150, 
0.043, 1.425, 151, 
0.044, 0.902, 152, 
0.041, 1.257, 153, 
0.031, 1.257, 154, 
0.044, 0.910, 155, 
0.024, 0.753, 156, 
0.032, 1.129, 157, 
0.053, 0.846, 158, 
0.031, 0.991, 159, 
0.047, 1.230, 160, 
0.032, 0.660, 161, 
0.009, 0.877, 162, 
0.005, 0.990, 163, 
0.014, 0.623, 164, 
0.045, 1.137, 165, 
0.036, 0.785, 166, 
0.032, 0.781, 167, 
0.032, 1.312, 168, 
0.035, 0.924, 169, 
0.033, 0.663, 170, 
0.023, 1.274, 171, 
0.044, 1.346, 172, 
0.036, 1.864, 173, 
0.031, 0.973, 174, 
0.028, 1.226, 175, 
0.077, 1.789, 176, 
0.054, 1.970, 177, 
0.021, 0.562, 178, 
0.045, 1.030, 179, 
0.045, 1.346, 180, 
0.028, 0.809, 181, 
0.016, 0.812, 182, 
0.030, 0.660, 183, 
0.009, 0.782, 184, 
0.041, 1.480, 185, 
0.055, 1.247, 186, 
0.011, 1.109, 187, 
0.018, 1.172, 188, 
0.049, 1.149, 189, 
0.030, 1.128, 190, 
0.020, 0.877, 191, 
0.023, 0.941, 192, 
0.042, 0.907, 193, 
0.042, 1.500, 194, 
0.009, 0.787, 195, 
0.020, 0.942, 196, 
0.028, 1.332, 197, 
0.025, 0.661, 198, 
0.045, 0.957, 199, 
0.031, 1.164, 200, 
0.046, 0.982, 201, 
0.028, 0.811, 202, 
0.027, 0.697, 203, 
0.014, 0.784, 204, 
0.027, 0.845, 205, 
0.013, 0.658, 206, 
0.036, 1.095, 207, 
0.035, 0.906, 208, 
0.047, 0.943, 209, 
0.024, 0.809, 210, 
0.045, 0.890, 211, 
0.030, 1.374, 212, 
0.014, 0.766, 213, 
0.032, 0.775, 214, 
0.026, 1.123, 215, 
0.023, 0.775, 216, 
0.026, 1.737, 217, 
0.010, 0.619, 218, 
0.007, 0.994, 219, 
0.024, 0.971, 220, 
0.024, 1.226, 221, 
0.032, 1.114, 222, 
0.029, 0.912, 223, 
0.012, 0.914, 224, 
0.032, 1.021, 225, 
0.023, 0.784, 226, 
0.020, 1.341, 227, 
0.034, 0.800, 228, 
0.019, 0.594, 229, 
0.019, 1.024, 230, 
0.050, 1.189, 231, 
0.024, 0.838, 232, 
0.019, 0.913, 233, 
0.042, 0.895, 234, 
0.031, 0.810, 235, 
0.016, 1.383, 236, 
0.027, 0.974, 237, 
0.046, 1.127, 238, 
0.025, 0.785, 239, 
0.027, 1.724, 240, 
0.017, 0.771, 241, 
0.037, 0.582, 242, 
0.042, 0.907, 243, 
0.071, 1.903, 244, 
0.026, 0.814, 245, 
0.044, 1.059, 246, 
0.013, 0.805, 247, 
0.034, 1.062, 248, 
0.031, 1.387, 249, 
0.030, 0.960, 250, 
0.031, 0.718, 251, 
0.034, 0.801, 252, 
0.042, 0.743, 253, 
0.022, 1.234, 254, 
0.021, 0.882, 255, 
0.037, 0.786, 256, 
0.038, 0.959, 257, 
0.035, 1.191, 258, 
0.027, 1.025, 259, 
0.006, 0.996, 260, 
0.028, 0.916, 261, 
0.041, 1.045, 262, 
0.024, 1.039, 263, 
0.022, 0.789, 264, 
0.010, 1.280, 265, 
0.050, 1.193, 266, 
0.029, 0.895, 267, 
0.036, 0.983, 268, 
0.015, 2.238, 269, 
0.031, 1.310, 270, 
0.023, 0.732, 271, 
0.041, 1.245, 272, 
0.029, 0.807, 273, 
0.016, 0.797, 274, 
0.012, 1.827, 275, 
0.012, 0.932, 276, 
0.025, 1.048, 277, 
0.042, 0.908, 278, 
0.047, 0.724, 279, 
0.076, 1.897, 280, 
0.029, 1.180, 281, 
0.046, 1.320, 282, 
0.074, 1.916, 283, 
0.033, 1.546, 284, 
0.013, 0.784, 285, 
0.008, 2.236, 286, 
0.032, 1.248, 287, 
0.051, 1.240, 288, 
0.035, 1.098, 289, 
0.050, 1.521, 290, 
0.029, 1.197, 291, 
0.022, 1.394, 292, 
0.022, 0.564, 293, 
0.053, 1.028, 294, 
0.047, 1.125, 295, 
0.017, 1.182, 296, 
0.034, 1.005, 297, 
0.041, 1.046, 298, 
0.040, 1.214, 299, 
0.018, 1.379, 300, 
0.047, 1.182, 301, 
0.025, 0.957, 302, 
0.020, 0.881, 303, 
0.020, 1.281, 304, 
0.030, 0.910, 305, 
0.024, 0.608, 306, 
0.015, 0.686, 307, 
0.042, 0.908, 308, 
0.024, 1.814, 309, 
0.045, 1.127, 310, 
0.028, 0.978, 311, 
0.036, 0.835, 312, 
0.027, 0.811, 313, 
0.043, 0.894, 314, 
0.022, 0.880, 315, 
0.050, 1.235, 316, 
0.026, 0.674, 317, 
0.034, 1.431, 318, 
0.022, 0.966, 319, 
0.044, 1.611, 320, 
0.039, 1.554, 321, 
0.024, 0.873, 322, 
0.023, 1.240, 323, 
0.017, 0.767, 324, 
0.020, 0.550, 325, 
0.027, 1.238, 326, 
0.027, 0.843, 327, 
0.021, 0.816, 328, 
0.077, 1.787, 329, 
0.012, 1.409, 330, 
-0.015, 2.079, 331, 
0.026, 1.241, 332, 
0.037, 1.039, 333, 
0.021, 1.174, 334, 
0.046, 1.059, 335, 
0.026, 0.811, 336, 
0.022, 0.940, 337, 
0.032, 1.163, 338, 
0.033, 0.849, 339, 
0.028, 0.704, 340, 
0.024, 1.274, 341, 
0.018, 0.937, 342, 
0.056, 1.289, 343, 
0.016, 1.380, 344, 
0.029, 1.239, 345, 
0.023, 1.109, 346, 
0.017, 0.794, 347, 
0.034, 1.247, 348, 
0.046, 0.959, 349, 
0.026, 0.816, 350, 
0.015, 0.731, 351, 
0.036, 0.863, 352, 
0.027, 0.730, 353, 
0.026, 1.552, 354, 
0.029, 0.829, 355, 
0.045, 1.352, 356, 
0.048, 0.906, 357, 
0.055, 0.997, 358, 
0.036, 0.892, 359, 
0.024, 0.809, 360, 
0.032, 1.766, 361, 
0.017, 0.679, 362, 
0.023, 0.605, 363, 
0.048, 1.305, 364, 
0.030, 0.971, 365, 
0.021, 0.785, 366, 
0.037, 1.023, 367, 
0.031, 1.125, 368, 
0.035, 1.263, 369, 
0.028, 0.841, 370, 
0.048, 0.877, 371, 
0.027, 1.050, 372, 
0.016, 1.030, 373, 
0.025, 0.785, 374, 
0.016, 0.764, 375, 
0.018, 1.382, 376, 
0.037, 1.063, 377, 
0.024, 0.943, 378, 
0.020, 0.953, 379, 
0.063, 0.899, 380, 
0.019, 2.227, 381, 
0.016, 1.110, 382, 
0.011, 1.321, 383, 
0.051, 1.970, 384, 
0.040, 0.737, 385, 
0.039, 1.042, 386, 
0.034, 1.300, 387, 
0.023, 1.269, 388, 
0.034, 0.726, 389, 
0.041, 1.342, 390, 
0.033, 1.128, 391, 
0.031, 1.248, 392, 
0.045, 0.896, 393, 
0.020, 1.244, 394, 
