mean,std,episode,x
0.021, 0.831, 1, 
0.011, 1.058, 2, 
0.008, 0.891, 3, 
0.035, 0.994, 4, 
0.002, 0.993, 5, 
-0.022, 0.767, 6, 
-0.008, 0.987, 7, 
-0.002, 0.830, 8, 
0.001, 0.570, 9, 
0.000, 0.811, 10, 
0.018, 0.512, 11, 
-0.001, 1.316, 12, 
0.035, 0.904, 13, 
-0.002, 0.436, 14, 
0.018, 0.593, 15, 
-0.002, 0.575, 16, 
-0.003, 0.842, 17, 
0.007, 1.169, 18, 
0.003, 0.648, 19, 
0.011, 0.774, 20, 
-0.003, 0.759, 21, 
-0.009, 0.618, 22, 
0.013, 0.916, 23, 
0.011, 1.406, 24, 
-0.003, 0.607, 25, 
0.047, 0.889, 26, 
0.020, 0.863, 27, 
0.013, 0.669, 28, 
0.017, 0.884, 29, 
0.034, 0.899, 30, 
0.010, 0.718, 31, 
0.009, 0.465, 32, 
0.010, 0.714, 33, 
-0.006, 1.036, 34, 
0.029, 1.130, 35, 
0.006, 0.626, 36, 
-0.003, 1.160, 37, 
0.004, 0.750, 38, 
0.017, 0.755, 39, 
0.021, 0.733, 40, 
0.010, 0.770, 41, 
0.006, 0.582, 42, 
0.009, 0.764, 43, 
0.004, 0.544, 44, 
0.021, 0.529, 45, 
0.020, 1.008, 46, 
0.020, 1.008, 47, 
0.004, 0.664, 48, 
0.067, 1.772, 49, 
0.006, 0.968, 50, 
0.000, 1.082, 51, 
-0.003, 0.476, 52, 
-0.005, 0.956, 53, 
-0.008, 0.661, 54, 
0.024, 1.204, 55, 
0.022, 1.074, 56, 
0.036, 1.103, 57, 
-0.015, 0.811, 58, 
0.002, 1.157, 59, 
-0.013, 0.837, 60, 
0.026, 1.207, 61, 
0.010, 0.923, 62, 
0.026, 0.711, 63, 
-0.011, 0.991, 64, 
0.018, 1.082, 65, 
0.018, 1.079, 66, 
0.013, 0.876, 67, 
0.019, 1.072, 68, 
0.011, 0.980, 69, 
0.018, 0.744, 70, 
0.017, 0.486, 71, 
0.030, 0.818, 72, 
0.013, 0.727, 73, 
0.017, 0.849, 74, 
0.015, 0.719, 75, 
0.023, 0.906, 76, 
0.014, 0.578, 77, 
0.003, 0.663, 78, 
0.012, 1.124, 79, 
0.013, 0.757, 80, 
0.037, 1.113, 81, 
0.003, 0.811, 82, 
0.017, 0.735, 83, 
0.017, 1.077, 84, 
0.029, 1.206, 85, 
0.031, 1.160, 86, 
0.027, 0.833, 87, 
0.031, 0.654, 88, 
0.039, 0.932, 89, 
0.051, 1.087, 90, 
0.051, 0.881, 91, 
0.033, 0.901, 92, 
0.032, 1.206, 93, 
0.030, 0.831, 94, 
0.032, 0.930, 95, 
0.038, 0.845, 96, 
0.059, 1.728, 97, 
0.023, 1.327, 98, 
0.046, 0.922, 99, 
0.023, 1.434, 100, 
0.022, 0.855, 101, 
0.027, 1.297, 102, 
0.032, 1.010, 103, 
0.054, 1.311, 104, 
0.038, 1.383, 105, 
0.031, 0.950, 106, 
0.050, 0.938, 107, 
0.041, 1.283, 108, 
0.016, 0.840, 109, 
0.019, 0.860, 110, 
0.021, 0.688, 111, 
0.049, 1.582, 112, 
0.047, 1.073, 113, 
0.044, 1.556, 114, 
0.065, 1.347, 115, 
0.030, 0.634, 116, 
0.027, 0.769, 117, 
0.011, 1.303, 118, 
0.037, 1.593, 119, 
0.060, 1.318, 120, 
0.043, 0.728, 121, 
0.025, 0.854, 122, 
0.044, 0.865, 123, 
0.023, 0.910, 124, 
0.045, 1.547, 125, 
0.021, 0.894, 126, 
0.021, 0.927, 127, 
0.032, 1.463, 128, 
0.064, 1.486, 129, 
0.018, 1.273, 130, 
0.032, 1.546, 131, 
0.041, 1.198, 132, 
0.039, 1.682, 133, 
0.037, 1.061, 134, 
0.048, 0.825, 135, 
0.025, 0.780, 136, 
0.053, 1.063, 137, 
0.038, 0.857, 138, 
0.039, 1.572, 139, 
0.039, 0.800, 140, 
0.028, 0.619, 141, 
0.054, 1.134, 142, 
0.052, 2.736, 143, 
0.036, 1.229, 144, 
-0.026, 2.455, 145, 
0.022, 1.281, 146, 
0.021, 1.153, 147, 
0.045, 1.414, 148, 
0.041, 1.709, 149, 
0.034, 0.743, 150, 
0.042, 1.662, 151, 
0.030, 0.832, 152, 
0.026, 1.026, 153, 
0.020, 0.823, 154, 
0.050, 1.140, 155, 
0.053, 1.117, 156, 
0.029, 0.900, 157, 
0.040, 0.941, 158, 
0.052, 0.964, 159, 
0.073, 1.425, 160, 
0.039, 1.294, 161, 
0.052, 2.757, 162, 
0.046, 1.296, 163, 
0.035, 0.942, 164, 
0.042, 1.535, 165, 
0.045, 1.582, 166, 
0.017, 1.887, 167, 
0.023, 0.777, 168, 
0.031, 0.798, 169, 
0.036, 1.443, 170, 
0.030, 1.087, 171, 
0.024, 0.952, 172, 
0.022, 1.054, 173, 
0.036, 1.333, 174, 
0.023, 1.368, 175, 
0.010, 2.463, 176, 
0.040, 1.149, 177, 
0.027, 0.691, 178, 
0.064, 1.947, 179, 
0.049, 1.195, 180, 
0.059, 1.532, 181, 
0.055, 1.637, 182, 
0.049, 1.452, 183, 
0.089, 1.363, 184, 
0.033, 1.203, 185, 
0.019, 0.942, 186, 
0.061, 1.074, 187, 
0.028, 0.796, 188, 
0.057, 0.969, 189, 
0.032, 0.736, 190, 
0.045, 1.124, 191, 
0.027, 0.929, 192, 
0.022, 0.722, 193, 
0.020, 1.431, 194, 
0.028, 0.925, 195, 
0.029, 0.813, 196, 
0.041, 0.782, 197, 
0.041, 0.785, 198, 
0.027, 1.093, 199, 
0.031, 1.381, 200, 
0.043, 1.378, 201, 
0.037, 1.501, 202, 
0.060, 1.282, 203, 
