mean,std,episode,x
0.006, 0.382, 1, 
-0.011, 0.293, 2, 
-0.004, 0.647, 3, 
-0.018, 0.491, 4, 
-0.014, 0.615, 5, 
-0.011, 0.887, 6, 
-0.009, 0.290, 7, 
-0.002, 0.413, 8, 
-0.002, 0.413, 9, 
0.005, 0.469, 10, 
-0.006, 0.858, 11, 
-0.020, 0.442, 12, 
-0.007, 0.448, 13, 
-0.007, 0.611, 14, 
0.004, 0.650, 15, 
-0.006, 0.478, 16, 
-0.008, 0.226, 17, 
0.006, 0.403, 18, 
-0.015, 0.532, 19, 
-0.014, 0.401, 20, 
-0.004, 0.632, 21, 
-0.018, 0.578, 22, 
-0.005, 0.311, 23, 
0.001, 0.289, 24, 
0.006, 0.290, 25, 
0.006, 0.685, 26, 
0.006, 0.412, 27, 
-0.002, 0.436, 28, 
-0.004, 0.475, 29, 
0.001, 0.309, 30, 
0.006, 0.458, 31, 
0.001, 0.763, 32, 
0.010, 0.351, 33, 
-0.002, 0.451, 34, 
-0.014, 0.389, 35, 
0.001, 0.314, 36, 
0.003, 0.412, 37, 
-0.006, 0.291, 38, 
0.006, 0.374, 39, 
0.001, 0.603, 40, 
-0.003, 0.426, 41, 
0.007, 0.316, 42, 
0.020, 0.513, 43, 
-0.005, 0.371, 44, 
0.019, 0.388, 45, 
0.004, 0.266, 46, 
0.009, 0.497, 47, 
-0.001, 0.290, 48, 
0.030, 0.578, 49, 
0.010, 0.333, 50, 
0.017, 0.448, 51, 
0.010, 0.454, 52, 
0.032, 0.624, 53, 
0.007, 0.384, 54, 
0.010, 0.577, 55, 
0.008, 0.391, 56, 
0.015, 0.341, 57, 
-0.005, 0.496, 58, 
0.008, 0.291, 59, 
0.003, 0.226, 60, 
0.014, 0.413, 61, 
0.002, 0.288, 62, 
0.008, 0.291, 63, 
0.009, 0.332, 64, 
0.011, 0.314, 65, 
0.007, 0.391, 66, 
0.005, 0.333, 67, 
0.012, 0.445, 68, 
0.001, 0.293, 69, 
0.013, 0.324, 70, 
0.002, 0.352, 71, 
