mean,std,episode,x
-0.003, 0.612, 1, 
0.000, 0.742, 2, 
-0.004, 0.517, 3, 
-0.002, 0.546, 4, 
-0.010, 0.544, 5, 
0.014, 0.522, 6, 
-0.006, 0.436, 7, 
-0.009, 0.507, 8, 
0.006, 0.432, 9, 
-0.001, 0.441, 10, 
0.007, 0.511, 11, 
-0.007, 0.552, 12, 
-0.008, 0.427, 13, 
0.021, 0.584, 14, 
0.001, 0.419, 15, 
-0.008, 0.935, 16, 
-0.001, 0.330, 17, 
-0.005, 0.598, 18, 
0.003, 0.686, 19, 
-0.004, 0.626, 20, 
0.016, 1.003, 21, 
0.004, 0.699, 22, 
0.005, 0.579, 23, 
0.022, 0.617, 24, 
0.007, 0.613, 25, 
-0.012, 0.494, 26, 
0.011, 0.656, 27, 
0.011, 0.507, 28, 
0.003, 0.498, 29, 
0.014, 0.579, 30, 
-0.006, 0.525, 31, 
0.007, 0.535, 32, 
0.006, 0.399, 33, 
-0.025, 0.706, 34, 
0.010, 0.429, 35, 
0.001, 0.631, 36, 
0.001, 0.502, 37, 
0.012, 0.660, 38, 
-0.000, 0.446, 39, 
0.010, 0.448, 40, 
-0.005, 0.449, 41, 
0.001, 0.697, 42, 
0.005, 0.586, 43, 
0.019, 0.535, 44, 
-0.004, 0.738, 45, 
-0.009, 0.631, 46, 
0.000, 0.535, 47, 
0.003, 0.351, 48, 
0.005, 0.428, 49, 
0.004, 0.310, 50, 
0.000, 0.335, 51, 
0.001, 0.556, 52, 
-0.006, 0.885, 53, 
-0.005, 0.687, 54, 
0.008, 0.715, 55, 
0.007, 0.467, 56, 
-0.001, 1.164, 57, 
0.021, 0.470, 58, 
0.026, 0.855, 59, 
0.015, 0.419, 60, 
0.017, 0.507, 61, 
0.015, 0.448, 62, 
0.021, 0.980, 63, 
0.008, 0.598, 64, 
-0.005, 0.526, 65, 
-0.000, 0.817, 66, 
0.004, 0.515, 67, 
0.006, 0.407, 68, 
0.010, 0.671, 69, 
0.016, 0.534, 70, 
-0.008, 0.698, 71, 
0.004, 0.338, 72, 
-0.009, 0.663, 73, 
0.029, 0.770, 74, 
-0.001, 0.521, 75, 
