mean,std,episode,x
-0.004, 0.885, 1, 
0.006, 0.714, 2, 
0.018, 1.329, 3, 
0.016, 0.934, 4, 
-0.008, 0.680, 5, 
-0.014, 1.025, 6, 
-0.018, 1.037, 7, 
0.006, 0.797, 8, 
-0.001, 0.917, 9, 
-0.007, 0.932, 10, 
0.012, 1.138, 11, 
-0.007, 0.800, 12, 
-0.005, 0.563, 13, 
0.023, 1.543, 14, 
0.011, 0.971, 15, 
-0.004, 0.684, 16, 
-0.005, 0.778, 17, 
0.001, 0.694, 18, 
0.009, 0.609, 19, 
-0.006, 0.887, 20, 
-0.018, 0.665, 21, 
-0.002, 0.805, 22, 
-0.020, 0.690, 23, 
-0.003, 0.860, 24, 
0.020, 0.566, 25, 
-0.015, 0.931, 26, 
0.009, 0.873, 27, 
0.008, 1.146, 28, 
0.012, 0.766, 29, 
0.053, 1.110, 30, 
0.017, 0.752, 31, 
0.011, 1.490, 32, 
0.009, 0.637, 33, 
0.011, 0.867, 34, 
-0.030, 0.798, 35, 
0.008, 0.483, 36, 
0.008, 1.107, 37, 
0.011, 0.922, 38, 
0.013, 1.051, 39, 
0.001, 0.585, 40, 
-0.016, 0.720, 41, 
-0.001, 1.019, 42, 
0.016, 0.748, 43, 
0.008, 0.935, 44, 
-0.017, 0.722, 45, 
0.007, 0.645, 46, 
-0.003, 0.874, 47, 
-0.010, 0.749, 48, 
-0.004, 0.893, 49, 
0.027, 0.971, 50, 
0.004, 1.090, 51, 
0.017, 0.678, 52, 
-0.008, 1.880, 53, 
0.006, 1.249, 54, 
-0.010, 0.677, 55, 
0.006, 0.995, 56, 
-0.003, 1.025, 57, 
-0.001, 0.786, 58, 
0.006, 1.071, 59, 
0.069, 1.894, 60, 
0.049, 1.237, 61, 
-0.009, 1.199, 62, 
0.017, 0.854, 63, 
0.008, 0.680, 64, 
0.004, 0.764, 65, 
0.001, 0.768, 66, 
0.008, 1.027, 67, 
0.016, 0.741, 68, 
0.011, 1.035, 69, 
0.010, 0.911, 70, 
0.007, 1.325, 71, 
0.019, 1.159, 72, 
-0.006, 1.186, 73, 
0.021, 0.900, 74, 
0.015, 0.695, 75, 
0.006, 1.605, 76, 
0.009, 1.590, 77, 
0.006, 1.183, 78, 
0.015, 0.700, 79, 
0.017, 0.857, 80, 
0.022, 0.829, 81, 
0.033, 1.590, 82, 
0.000, 1.303, 83, 
0.040, 0.932, 84, 
0.015, 1.217, 85, 
-0.001, 1.085, 86, 
0.014, 1.810, 87, 
0.016, 0.724, 88, 
-0.045, 2.184, 89, 
0.002, 0.725, 90, 
0.011, 0.698, 91, 
0.026, 0.653, 92, 
0.010, 0.572, 93, 
0.036, 1.176, 94, 
0.027, 1.166, 95, 
0.030, 1.098, 96, 
0.038, 0.888, 97, 
0.019, 0.845, 98, 
0.021, 1.418, 99, 
0.030, 1.421, 100, 
-0.011, 1.788, 101, 
0.042, 1.225, 102, 
-0.001, 0.957, 103, 
0.028, 0.782, 104, 
0.050, 0.978, 105, 
0.019, 1.334, 106, 
0.013, 0.885, 107, 
0.003, 0.721, 108, 
0.024, 0.550, 109, 
-0.007, 1.313, 110, 
0.007, 1.423, 111, 
0.029, 0.838, 112, 
0.028, 0.612, 113, 
0.036, 0.635, 114, 
-0.004, 0.922, 115, 
0.029, 0.681, 116, 
0.017, 0.988, 117, 
0.048, 0.874, 118, 
0.025, 0.654, 119, 
-0.013, 1.874, 120, 
0.040, 1.381, 121, 
-0.022, 1.837, 122, 
0.019, 0.702, 123, 
0.061, 2.285, 124, 
0.044, 1.108, 125, 
0.002, 1.036, 126, 
0.001, 0.824, 127, 
0.025, 0.604, 128, 
0.050, 1.302, 129, 
0.005, 0.965, 130, 
0.011, 1.181, 131, 
0.033, 0.922, 132, 
0.063, 0.986, 133, 
0.022, 0.930, 134, 
0.012, 0.962, 135, 
-0.022, 1.767, 136, 
0.015, 0.751, 137, 
0.054, 0.974, 138, 
0.008, 1.003, 139, 
-0.001, 1.115, 140, 
0.023, 1.044, 141, 
0.013, 1.348, 142, 
0.009, 1.803, 143, 
0.019, 0.580, 144, 
0.031, 1.466, 145, 
0.030, 1.431, 146, 
0.017, 0.741, 147, 
0.041, 1.634, 148, 
0.034, 1.871, 149, 
0.003, 1.787, 150, 
0.045, 0.966, 151, 
0.025, 1.141, 152, 
-0.019, 1.457, 153, 
0.051, 0.911, 154, 
-0.004, 0.823, 155, 
0.079, 1.879, 156, 
0.023, 0.864, 157, 
0.054, 1.138, 158, 
0.050, 1.297, 159, 
0.014, 1.472, 160, 
0.010, 0.745, 161, 
0.016, 1.355, 162, 
0.035, 1.112, 163, 
0.007, 0.732, 164, 
0.049, 2.061, 165, 
0.046, 1.265, 166, 
0.021, 1.312, 167, 
0.040, 0.634, 168, 
0.070, 0.929, 169, 
0.036, 1.050, 170, 
0.053, 1.211, 171, 
0.017, 0.917, 172, 
0.015, 0.750, 173, 
0.031, 0.689, 174, 
0.008, 0.873, 175, 
0.027, 0.919, 176, 
0.040, 1.105, 177, 
0.017, 0.916, 178, 
0.021, 0.871, 179, 
0.020, 1.418, 180, 
0.033, 1.289, 181, 
-0.019, 2.675, 182, 
0.039, 1.200, 183, 
0.028, 0.699, 184, 
0.024, 1.546, 185, 
0.041, 1.199, 186, 
0.042, 1.091, 187, 
0.014, 1.107, 188, 
0.048, 1.260, 189, 
0.035, 1.550, 190, 
0.021, 1.718, 191, 
0.032, 0.779, 192, 
0.036, 1.214, 193, 
0.052, 1.103, 194, 
0.047, 1.036, 195, 
0.031, 0.910, 196, 
0.009, 0.967, 197, 
0.051, 1.067, 198, 
0.031, 0.994, 199, 
0.032, 1.283, 200, 
0.028, 1.570, 201, 
0.028, 1.837, 202, 
0.042, 1.210, 203, 
0.053, 1.045, 204, 
0.033, 0.904, 205, 
0.053, 1.089, 206, 
0.035, 1.416, 207, 
0.041, 1.085, 208, 
0.031, 1.797, 209, 
0.025, 0.951, 210, 
0.040, 1.761, 211, 
0.050, 1.377, 212, 
0.040, 1.267, 213, 
0.033, 1.005, 214, 
0.030, 1.868, 215, 
0.052, 1.131, 216, 
0.033, 1.759, 217, 
0.055, 1.724, 218, 
0.037, 1.222, 219, 
0.052, 2.165, 220, 
0.029, 1.054, 221, 
0.027, 1.023, 222, 
0.043, 1.086, 223, 
0.057, 1.918, 224, 
0.064, 1.654, 225, 
0.051, 0.979, 226, 
0.038, 1.438, 227, 
0.013, 1.834, 228, 
0.063, 1.255, 229, 
0.032, 1.033, 230, 
0.070, 1.856, 231, 
0.070, 2.371, 232, 
0.036, 1.425, 233, 
0.034, 0.883, 234, 
0.067, 1.937, 235, 
0.050, 1.196, 236, 
0.054, 1.323, 237, 
0.071, 1.313, 238, 
0.001, 1.311, 239, 
0.038, 1.327, 240, 
0.025, 1.184, 241, 
0.102, 1.426, 242, 
0.023, 1.014, 243, 
0.030, 1.617, 244, 
0.026, 1.672, 245, 
0.059, 1.889, 246, 
0.088, 1.154, 247, 
0.037, 0.934, 248, 
0.061, 1.454, 249, 
0.024, 0.829, 250, 
0.055, 1.219, 251, 
0.057, 2.656, 252, 
0.040, 1.998, 253, 
-0.001, 2.329, 254, 
0.049, 1.958, 255, 
0.120, 1.509, 256, 
0.057, 1.651, 257, 
0.043, 1.382, 258, 
0.020, 1.549, 259, 
0.062, 1.183, 260, 
0.016, 2.947, 261, 
0.038, 1.139, 262, 
0.059, 1.235, 263, 
0.051, 1.235, 264, 
0.023, 1.077, 265, 
0.045, 1.337, 266, 
0.043, 1.461, 267, 
0.084, 1.740, 268, 
0.039, 1.119, 269, 
0.032, 0.800, 270, 
0.023, 1.765, 271, 
0.030, 1.333, 272, 
0.070, 1.433, 273, 
0.028, 0.953, 274, 
0.040, 0.761, 275, 
0.070, 1.398, 276, 
0.026, 1.396, 277, 
0.063, 1.354, 278, 
0.053, 1.651, 279, 
0.039, 1.854, 280, 
0.031, 0.960, 281, 
0.040, 1.032, 282, 
0.032, 1.663, 283, 
0.027, 0.930, 284, 
0.038, 0.964, 285, 
0.077, 1.352, 286, 
0.016, 1.716, 287, 
0.033, 1.276, 288, 
0.045, 1.315, 289, 
0.058, 1.261, 290, 
0.048, 1.405, 291, 
0.005, 1.927, 292, 
0.049, 1.540, 293, 
0.039, 1.760, 294, 
0.039, 1.343, 295, 
0.014, 2.527, 296, 
0.057, 1.397, 297, 
0.028, 1.304, 298, 
0.042, 1.380, 299, 
0.024, 1.098, 300, 
0.017, 1.946, 301, 
0.051, 0.800, 302, 
0.048, 1.502, 303, 
0.036, 0.912, 304, 
0.053, 1.594, 305, 
0.027, 1.747, 306, 
0.039, 1.461, 307, 
0.029, 1.728, 308, 
0.065, 1.418, 309, 
0.065, 1.462, 310, 
0.065, 1.575, 311, 
0.052, 1.274, 312, 
0.016, 1.203, 313, 
0.039, 1.460, 314, 
0.037, 1.562, 315, 
0.030, 1.320, 316, 
0.030, 1.193, 317, 
0.026, 1.192, 318, 
0.037, 1.007, 319, 
0.045, 1.080, 320, 
0.030, 1.698, 321, 
0.061, 1.650, 322, 
0.070, 1.980, 323, 
0.035, 1.622, 324, 
0.016, 1.889, 325, 
0.014, 1.125, 326, 
0.042, 1.097, 327, 
0.043, 1.313, 328, 
0.030, 1.127, 329, 
0.068, 2.085, 330, 
0.014, 1.947, 331, 
0.026, 1.312, 332, 
0.049, 2.477, 333, 
0.083, 1.220, 334, 
0.021, 1.050, 335, 
0.032, 1.705, 336, 
0.086, 1.231, 337, 
0.027, 1.047, 338, 
0.026, 1.077, 339, 
0.040, 1.880, 340, 
0.052, 1.422, 341, 
0.030, 0.873, 342, 
0.045, 1.492, 343, 
0.042, 1.120, 344, 
0.053, 1.529, 345, 
0.039, 1.403, 346, 
0.025, 1.215, 347, 
0.035, 1.382, 348, 
0.084, 1.824, 349, 
0.015, 1.024, 350, 
0.037, 1.702, 351, 
0.068, 1.702, 352, 
0.022, 1.357, 353, 
0.034, 1.062, 354, 
0.014, 1.022, 355, 
0.070, 2.425, 356, 
0.059, 1.285, 357, 
0.050, 1.376, 358, 
0.030, 1.412, 359, 
0.036, 1.446, 360, 
0.038, 1.900, 361, 
0.052, 1.622, 362, 
0.026, 1.177, 363, 
0.065, 1.800, 364, 
0.044, 1.369, 365, 
0.026, 1.076, 366, 
0.039, 0.908, 367, 
0.035, 1.293, 368, 
0.070, 1.448, 369, 
0.040, 1.161, 370, 
0.051, 0.787, 371, 
0.034, 0.803, 372, 
0.028, 0.760, 373, 
0.034, 1.169, 374, 
0.050, 2.491, 375, 
0.057, 1.580, 376, 
0.067, 1.761, 377, 
0.026, 1.395, 378, 
0.049, 1.944, 379, 
0.032, 1.332, 380, 
0.042, 1.343, 381, 
