mean,std,episode,x
0.017, 0.831, 1, 
0.028, 1.901, 2, 
-0.026, 2.893, 3, 
-0.009, 2.582, 4, 
-0.006, 1.948, 5, 
0.062, 1.667, 6, 
0.047, 1.436, 7, 
-0.001, 1.192, 8, 
-0.024, 1.348, 9, 
0.011, 1.282, 10, 
0.008, 0.960, 11, 
0.003, 0.961, 12, 
0.027, 1.443, 13, 
0.021, 1.605, 14, 
0.043, 0.931, 15, 
0.050, 2.511, 16, 
0.022, 1.892, 17, 
-0.005, 1.237, 18, 
0.053, 1.078, 19, 
0.076, 1.857, 20, 
0.082, 1.852, 21, 
0.017, 1.473, 22, 
0.007, 1.197, 23, 
0.006, 2.270, 24, 
0.019, 0.963, 25, 
0.062, 1.581, 26, 
-0.001, 1.332, 27, 
-0.000, 1.354, 28, 
0.037, 2.230, 29, 
0.027, 2.550, 30, 
0.042, 2.074, 31, 
0.023, 1.416, 32, 
0.045, 2.267, 33, 
0.039, 1.138, 34, 
0.052, 1.449, 35, 
0.035, 1.191, 36, 
0.035, 2.371, 37, 
0.039, 0.980, 38, 
0.042, 2.141, 39, 
0.036, 1.669, 40, 
0.044, 1.447, 41, 
0.016, 0.818, 42, 
0.053, 1.439, 43, 
-0.005, 1.120, 44, 
0.044, 1.190, 45, 
0.039, 0.980, 46, 
0.060, 1.538, 47, 
0.018, 1.150, 48, 
0.063, 1.016, 49, 
0.066, 1.278, 50, 
0.044, 1.106, 51, 
0.025, 1.735, 52, 
0.009, 1.155, 53, 
0.044, 1.584, 54, 
0.033, 1.489, 55, 
0.052, 1.836, 56, 
0.039, 1.668, 57, 
0.041, 1.863, 58, 
0.024, 1.558, 59, 
0.038, 1.458, 60, 
0.056, 1.770, 61, 
0.048, 1.202, 62, 
0.026, 1.957, 63, 
0.053, 1.450, 64, 
0.027, 1.708, 65, 
0.099, 1.699, 66, 
0.088, 1.820, 67, 
0.016, 1.658, 68, 
0.050, 1.326, 69, 
0.019, 1.369, 70, 
0.083, 1.413, 71, 
0.055, 1.493, 72, 
0.040, 1.810, 73, 
0.063, 2.023, 74, 
0.032, 1.329, 75, 
0.056, 1.468, 76, 
0.038, 1.751, 77, 
0.090, 2.163, 78, 
0.010, 2.022, 79, 
0.042, 1.167, 80, 
0.041, 1.063, 81, 
0.047, 0.961, 82, 
0.060, 2.013, 83, 
0.064, 1.101, 84, 
0.065, 1.809, 85, 
0.054, 1.436, 86, 
0.064, 1.821, 87, 
0.057, 1.101, 88, 
0.027, 0.815, 89, 
0.089, 1.759, 90, 
0.056, 1.255, 91, 
0.050, 1.368, 92, 
0.062, 2.207, 93, 
0.027, 1.558, 94, 
0.033, 2.419, 95, 
0.015, 1.109, 96, 
0.033, 1.797, 97, 
0.041, 1.771, 98, 
0.031, 1.132, 99, 
0.054, 1.320, 100, 
0.044, 1.680, 101, 
0.011, 1.234, 102, 
0.058, 1.467, 103, 
0.034, 1.580, 104, 
0.093, 1.275, 105, 
0.030, 0.988, 106, 
0.029, 1.235, 107, 
0.094, 2.110, 108, 
0.031, 1.558, 109, 
0.083, 1.332, 110, 
0.024, 3.142, 111, 
0.051, 1.171, 112, 
-0.008, 1.395, 113, 
0.067, 1.016, 114, 
0.055, 1.436, 115, 
0.040, 1.287, 116, 
0.005, 2.022, 117, 
0.048, 1.229, 118, 
0.053, 1.566, 119, 
0.031, 0.833, 120, 
0.069, 1.194, 121, 
0.036, 1.647, 122, 
0.040, 1.386, 123, 
0.020, 1.275, 124, 
0.031, 1.575, 125, 
0.070, 1.538, 126, 
0.042, 1.069, 127, 
0.041, 1.344, 128, 
0.022, 1.287, 129, 
0.019, 1.939, 130, 
0.021, 1.016, 131, 
0.078, 2.111, 132, 
0.011, 1.465, 133, 
0.048, 1.447, 134, 
0.053, 0.815, 135, 
0.040, 1.922, 136, 
0.034, 1.325, 137, 
0.046, 1.602, 138, 
0.052, 1.663, 139, 
0.054, 2.263, 140, 
0.035, 1.025, 141, 
0.021, 1.343, 142, 
0.044, 1.638, 143, 
0.024, 1.284, 144, 
0.066, 1.808, 145, 
