mean,std,episode,x
0.014, 0.682, 1, 
0.027, 0.930, 2, 
0.002, 1.433, 3, 
-0.017, 1.092, 4, 
-0.015, 0.621, 5, 
0.013, 0.807, 6, 
-0.022, 0.668, 7, 
-0.001, 1.482, 8, 
-0.025, 1.021, 9, 
0.007, 0.814, 10, 
-0.002, 0.478, 11, 
-0.006, 1.008, 12, 
0.009, 0.837, 13, 
0.002, 0.817, 14, 
0.001, 0.569, 15, 
-0.023, 0.484, 16, 
0.017, 0.795, 17, 
-0.000, 1.014, 18, 
0.008, 0.788, 19, 
0.012, 1.180, 20, 
0.028, 0.984, 21, 
0.029, 0.747, 22, 
-0.021, 0.753, 23, 
0.020, 0.842, 24, 
0.016, 0.867, 25, 
0.003, 0.754, 26, 
-0.021, 0.658, 27, 
-0.004, 1.142, 28, 
-0.009, 0.613, 29, 
-0.003, 0.833, 30, 
-0.020, 1.064, 31, 
-0.000, 0.966, 32, 
0.009, 0.670, 33, 
0.018, 0.565, 34, 
0.001, 0.668, 35, 
-0.025, 0.995, 36, 
-0.003, 1.032, 37, 
-0.015, 0.949, 38, 
0.013, 1.075, 39, 
0.006, 0.816, 40, 
-0.030, 1.237, 41, 
-0.011, 1.079, 42, 
-0.015, 1.108, 43, 
0.007, 0.932, 44, 
-0.032, 1.262, 45, 
-0.026, 1.274, 46, 
0.003, 1.139, 47, 
0.036, 1.096, 48, 
0.014, 1.305, 49, 
-0.031, 1.011, 50, 
0.004, 0.507, 51, 
-0.013, 0.956, 52, 
-0.009, 0.944, 53, 
0.019, 1.369, 54, 
-0.009, 0.734, 55, 
0.017, 0.808, 56, 
-0.006, 1.033, 57, 
-0.009, 0.679, 58, 
0.056, 1.584, 59, 
0.043, 0.927, 60, 
-0.000, 0.651, 61, 
-0.016, 0.851, 62, 
0.031, 0.945, 63, 
0.023, 0.676, 64, 
0.017, 1.532, 65, 
-0.009, 1.087, 66, 
0.037, 1.022, 67, 
0.019, 1.009, 68, 
0.050, 0.863, 69, 
0.022, 0.943, 70, 
0.016, 0.841, 71, 
0.023, 1.405, 72, 
-0.004, 0.771, 73, 
-0.009, 1.153, 74, 
-0.001, 0.675, 75, 
0.022, 0.779, 76, 
-0.013, 0.868, 77, 
0.022, 0.875, 78, 
-0.012, 0.967, 79, 
0.013, 0.784, 80, 
0.016, 1.168, 81, 
0.033, 0.772, 82, 
0.013, 1.016, 83, 
0.002, 0.603, 84, 
0.018, 0.795, 85, 
-0.019, 0.802, 86, 
0.002, 1.128, 87, 
0.014, 0.697, 88, 
-0.010, 0.821, 89, 
0.010, 0.920, 90, 
-0.022, 1.645, 91, 
0.026, 1.600, 92, 
0.002, 0.808, 93, 
0.012, 1.530, 94, 
-0.020, 1.098, 95, 
0.027, 0.921, 96, 
0.018, 0.968, 97, 
0.002, 0.835, 98, 
0.036, 1.042, 99, 
0.016, 1.091, 100, 
0.008, 0.601, 101, 
0.011, 0.687, 102, 
0.005, 1.275, 103, 
0.017, 0.717, 104, 
-0.009, 1.161, 105, 
0.034, 1.320, 106, 
-0.000, 0.743, 107, 
0.018, 1.052, 108, 
0.009, 0.810, 109, 
0.013, 0.781, 110, 
0.039, 0.944, 111, 
-0.008, 1.105, 112, 
0.005, 0.717, 113, 
0.028, 0.855, 114, 
0.011, 0.900, 115, 
0.016, 0.752, 116, 
-0.024, 1.589, 117, 
0.018, 1.106, 118, 
0.011, 1.350, 119, 
0.022, 0.828, 120, 
-0.001, 0.923, 121, 
0.016, 0.722, 122, 
-0.005, 0.856, 123, 
-0.003, 1.287, 124, 
0.010, 1.157, 125, 
0.006, 0.695, 126, 
0.008, 0.599, 127, 
0.011, 1.426, 128, 
0.033, 0.851, 129, 
0.011, 1.169, 130, 
0.006, 0.663, 131, 
0.007, 0.631, 132, 
0.035, 0.800, 133, 
0.007, 1.218, 134, 
0.029, 0.817, 135, 
0.037, 0.860, 136, 
0.050, 1.211, 137, 
0.042, 1.091, 138, 
0.037, 1.069, 139, 
0.019, 0.777, 140, 
0.007, 0.775, 141, 
0.007, 0.919, 142, 
0.009, 0.988, 143, 
0.048, 0.854, 144, 
-0.009, 0.955, 145, 
0.006, 0.797, 146, 
0.016, 1.197, 147, 
0.003, 0.993, 148, 
0.021, 0.695, 149, 
0.009, 0.872, 150, 
0.022, 1.198, 151, 
0.024, 0.996, 152, 
0.007, 0.602, 153, 
0.019, 1.337, 154, 
0.021, 1.054, 155, 
-0.018, 1.165, 156, 
0.020, 0.915, 157, 
0.035, 0.951, 158, 
0.033, 1.141, 159, 
0.042, 1.183, 160, 
0.039, 0.737, 161, 
0.047, 1.255, 162, 
0.033, 0.616, 163, 
0.019, 1.116, 164, 
0.044, 1.183, 165, 
0.026, 1.239, 166, 
0.014, 1.010, 167, 
0.043, 1.215, 168, 
0.027, 0.827, 169, 
0.033, 0.961, 170, 
0.014, 0.777, 171, 
0.037, 1.793, 172, 
0.031, 1.174, 173, 
0.034, 1.279, 174, 
0.008, 1.191, 175, 
0.048, 0.889, 176, 
0.036, 1.229, 177, 
0.020, 0.831, 178, 
0.017, 0.778, 179, 
0.021, 1.029, 180, 
-0.013, 1.694, 181, 
0.030, 0.911, 182, 
0.020, 0.882, 183, 
0.016, 0.948, 184, 
0.031, 0.835, 185, 
0.006, 1.102, 186, 
0.011, 1.134, 187, 
0.048, 0.864, 188, 
0.030, 1.096, 189, 
0.043, 1.097, 190, 
0.031, 1.096, 191, 
0.003, 1.508, 192, 
0.027, 1.138, 193, 
-0.002, 1.598, 194, 
0.009, 0.778, 195, 
0.017, 0.683, 196, 
0.043, 1.580, 197, 
0.029, 2.163, 198, 
0.017, 1.359, 199, 
0.060, 0.927, 200, 
0.035, 0.839, 201, 
0.032, 1.455, 202, 
0.016, 0.712, 203, 
0.044, 1.319, 204, 
0.016, 0.887, 205, 
0.028, 0.961, 206, 
0.060, 0.908, 207, 
0.068, 1.802, 208, 
0.036, 1.182, 209, 
0.013, 0.827, 210, 
0.012, 0.985, 211, 
0.022, 0.945, 212, 
-0.002, 1.072, 213, 
0.036, 0.613, 214, 
0.033, 0.920, 215, 
-0.003, 1.237, 216, 
0.039, 1.222, 217, 
0.020, 0.826, 218, 
0.020, 0.703, 219, 
-0.014, 1.492, 220, 
0.027, 1.335, 221, 
0.096, 1.246, 222, 
0.028, 1.427, 223, 
0.017, 0.912, 224, 
0.067, 0.986, 225, 
0.033, 0.785, 226, 
0.025, 0.864, 227, 
0.025, 0.760, 228, 
0.035, 1.043, 229, 
0.051, 1.159, 230, 
0.007, 0.860, 231, 
0.012, 1.388, 232, 
0.032, 0.993, 233, 
0.046, 1.639, 234, 
0.039, 1.645, 235, 
0.028, 1.032, 236, 
0.014, 0.892, 237, 
0.061, 1.342, 238, 
0.017, 0.753, 239, 
0.032, 0.708, 240, 
0.033, 0.854, 241, 
-0.003, 1.464, 242, 
0.038, 1.072, 243, 
0.044, 1.771, 244, 
0.020, 1.096, 245, 
0.056, 1.471, 246, 
0.033, 0.923, 247, 
-0.023, 2.108, 248, 
0.062, 1.546, 249, 
0.054, 0.937, 250, 
0.052, 1.143, 251, 
0.045, 1.129, 252, 
0.035, 1.012, 253, 
0.074, 2.871, 254, 
0.029, 0.935, 255, 
0.058, 1.028, 256, 
0.067, 1.406, 257, 
0.033, 1.358, 258, 
0.011, 1.088, 259, 
0.052, 1.203, 260, 
0.042, 1.433, 261, 
0.046, 1.168, 262, 
0.035, 1.425, 263, 
0.027, 1.147, 264, 
-0.005, 2.478, 265, 
0.032, 1.003, 266, 
0.025, 1.218, 267, 
0.066, 1.405, 268, 
0.048, 1.511, 269, 
0.036, 1.379, 270, 
0.044, 1.300, 271, 
0.032, 1.341, 272, 
0.028, 1.179, 273, 
0.017, 1.333, 274, 
0.023, 2.152, 275, 
0.059, 1.282, 276, 
0.028, 1.380, 277, 
0.062, 1.269, 278, 
0.028, 0.720, 279, 
0.018, 0.943, 280, 
0.015, 1.467, 281, 
0.030, 1.232, 282, 
0.079, 2.165, 283, 
0.021, 0.691, 284, 
0.009, 2.092, 285, 
0.039, 1.473, 286, 
0.015, 0.765, 287, 
0.035, 0.872, 288, 
0.060, 0.845, 289, 
0.049, 0.951, 290, 
0.023, 2.045, 291, 
0.035, 1.525, 292, 
0.051, 1.395, 293, 
0.029, 1.085, 294, 
0.064, 1.858, 295, 
0.045, 1.541, 296, 
0.074, 2.939, 297, 
0.067, 1.504, 298, 
0.046, 1.107, 299, 
0.043, 1.530, 300, 
0.078, 1.455, 301, 
0.049, 1.801, 302, 
0.070, 1.586, 303, 
0.035, 1.706, 304, 
0.029, 1.381, 305, 
0.046, 1.809, 306, 
0.027, 1.734, 307, 
0.068, 1.329, 308, 
-0.030, 2.630, 309, 
0.028, 1.239, 310, 
0.006, 1.406, 311, 
0.052, 1.200, 312, 
0.053, 1.458, 313, 
0.015, 1.579, 314, 
0.022, 0.926, 315, 
0.042, 1.475, 316, 
0.016, 1.099, 317, 
0.102, 1.346, 318, 
0.048, 1.283, 319, 
0.072, 2.210, 320, 
0.067, 1.230, 321, 
0.078, 1.617, 322, 
0.032, 1.117, 323, 
0.025, 0.667, 324, 
0.039, 1.173, 325, 
0.044, 1.533, 326, 
0.032, 0.815, 327, 
0.032, 1.000, 328, 
0.025, 1.561, 329, 
0.059, 1.562, 330, 
0.028, 0.975, 331, 
0.032, 1.295, 332, 
0.055, 1.568, 333, 
0.040, 1.308, 334, 
0.037, 1.531, 335, 
0.033, 1.973, 336, 
0.029, 0.776, 337, 
0.051, 1.291, 338, 
0.029, 0.823, 339, 
0.051, 2.785, 340, 
0.037, 1.410, 341, 
0.022, 2.747, 342, 
0.050, 1.887, 343, 
0.062, 1.477, 344, 
0.030, 1.232, 345, 
0.042, 0.954, 346, 
0.014, 0.942, 347, 
0.049, 1.125, 348, 
0.006, 1.360, 349, 
0.012, 1.234, 350, 
0.038, 1.834, 351, 
0.016, 1.144, 352, 
0.072, 1.515, 353, 
0.038, 1.720, 354, 
0.033, 0.831, 355, 
0.039, 1.495, 356, 
0.040, 1.221, 357, 
0.024, 0.977, 358, 
0.019, 1.499, 359, 
0.071, 1.073, 360, 
0.041, 1.536, 361, 
0.025, 0.945, 362, 
0.026, 1.032, 363, 
0.060, 1.608, 364, 
0.011, 0.798, 365, 
0.027, 1.361, 366, 
0.018, 1.113, 367, 
0.051, 1.282, 368, 
0.042, 0.898, 369, 
0.091, 1.342, 370, 
0.011, 1.135, 371, 
