mean,std,episode,x
-0.009, 0.361, 2, 
-0.003, 0.404, 3, 
0.000, 0.425, 4, 
0.004, 0.340, 5, 
0.004, 0.474, 6, 
0.006, 0.429, 7, 
-0.007, 0.402, 8, 
-0.001, 0.507, 9, 
-0.008, 0.488, 10, 
0.006, 0.340, 11, 
0.008, 0.573, 12, 
0.008, 0.370, 13, 
-0.009, 0.379, 14, 
0.001, 0.251, 15, 
-0.013, 0.957, 16, 
0.017, 0.508, 17, 
-0.005, 0.456, 18, 
0.002, 0.528, 19, 
0.015, 0.629, 20, 
0.012, 0.582, 21, 
0.010, 0.586, 22, 
-0.005, 0.470, 23, 
0.016, 0.428, 24, 
0.009, 0.394, 25, 
-0.001, 0.476, 26, 
0.012, 0.320, 27, 
0.002, 0.341, 28, 
0.011, 0.532, 29, 
0.005, 0.382, 30, 
0.005, 0.407, 31, 
0.002, 0.324, 32, 
0.009, 0.292, 33, 
0.007, 0.293, 34, 
0.006, 0.326, 35, 
0.004, 0.600, 36, 
0.010, 0.321, 37, 
0.016, 0.521, 38, 
0.009, 0.573, 39, 
-0.005, 0.628, 40, 
0.009, 0.467, 41, 
0.005, 0.395, 42, 
-0.007, 0.803, 43, 
0.004, 0.323, 44, 
0.002, 0.400, 45, 
-0.000, 0.267, 46, 
0.002, 0.326, 47, 
0.006, 0.554, 48, 
0.015, 0.379, 49, 
0.012, 0.577, 50, 
0.003, 0.397, 51, 
0.011, 0.604, 52, 
0.008, 0.643, 53, 
0.018, 0.731, 54, 
0.011, 0.401, 55, 
0.004, 0.506, 56, 
0.009, 0.427, 57, 
0.005, 0.477, 58, 
0.003, 0.412, 59, 
0.003, 0.420, 60, 
0.013, 0.511, 61, 
0.005, 0.304, 62, 
0.008, 0.367, 63, 
0.004, 0.379, 64, 
0.004, 0.333, 65, 
0.017, 0.558, 66, 
0.007, 0.550, 67, 
0.006, 0.293, 68, 
0.006, 0.304, 69, 
0.018, 0.580, 70, 
0.004, 0.379, 71, 
-0.003, 0.749, 72, 
0.013, 0.365, 73, 
0.002, 0.498, 74, 
0.010, 0.384, 75, 
0.011, 0.528, 76, 
0.005, 0.454, 77, 
0.022, 0.445, 78, 
0.009, 0.288, 79, 
0.009, 0.489, 80, 
0.001, 0.381, 81, 
0.006, 0.542, 82, 
