mean,std,episode,x
-0.008, 0.307, 2, 
0.004, 0.367, 3, 
0.040, 0.919, 4, 
0.003, 0.645, 5, 
0.005, 0.364, 6, 
0.007, 0.450, 7, 
0.017, 0.437, 8, 
-0.002, 0.739, 9, 
-0.005, 0.394, 10, 
0.007, 0.313, 11, 
-0.001, 0.342, 12, 
0.001, 0.233, 13, 
0.006, 0.388, 14, 
0.016, 0.405, 15, 
-0.008, 0.395, 16, 
0.007, 0.531, 17, 
0.003, 0.351, 18, 
0.022, 0.410, 19, 
0.001, 0.319, 20, 
0.007, 0.415, 21, 
0.006, 0.251, 22, 
0.000, 0.384, 23, 
0.014, 0.576, 24, 
0.002, 0.328, 25, 
0.003, 0.545, 26, 
0.021, 0.541, 27, 
0.007, 0.424, 28, 
0.012, 0.392, 29, 
0.014, 0.325, 30, 
0.015, 0.471, 31, 
0.010, 0.928, 32, 
0.000, 0.581, 33, 
0.019, 0.497, 34, 
0.006, 0.325, 35, 
0.003, 0.305, 36, 
0.007, 0.500, 37, 
0.012, 0.323, 38, 
0.012, 0.496, 39, 
0.009, 0.358, 40, 
0.002, 0.238, 41, 
0.003, 0.478, 42, 
-0.005, 0.317, 43, 
-0.000, 0.455, 44, 
-0.002, 0.502, 45, 
-0.000, 0.466, 46, 
0.003, 0.558, 47, 
0.023, 0.540, 48, 
0.003, 0.313, 49, 
0.008, 0.372, 50, 
0.005, 0.287, 51, 
0.022, 0.422, 52, 
0.018, 0.611, 53, 
0.013, 0.377, 54, 
0.013, 0.436, 55, 
0.017, 0.441, 56, 
0.008, 0.314, 57, 
0.010, 0.430, 58, 
0.000, 0.364, 59, 
0.002, 0.303, 60, 
0.011, 0.316, 61, 
0.005, 0.321, 62, 
0.006, 0.389, 63, 
0.004, 0.416, 64, 
-0.002, 0.689, 65, 
0.001, 0.319, 66, 
0.004, 0.456, 67, 
0.007, 0.459, 68, 
0.016, 0.412, 69, 
0.012, 0.428, 70, 
0.000, 0.419, 71, 
0.016, 0.476, 72, 
0.010, 0.379, 73, 
0.004, 0.426, 74, 
0.025, 0.484, 75, 
