mean,std,episode,x
0.000, 0.333,  2, 
0.000, 0.367,  3, 
0.010, 0.725,  4, 
0.006, 0.418,  5, 
-0.002, 0.388,  6, 
-0.003, 0.541,  7, 
-0.008, 0.750,  8, 
0.015, 0.630,  9, 
-0.003, 0.501,  10, 
0.019, 0.554,  11, 
-0.006, 0.478,  12, 
-0.003, 0.504,  13, 
-0.001, 0.363,  14, 
-0.002, 0.449,  15, 
0.001, 0.326,  16, 
0.003, 0.449,  17, 
-0.002, 0.469,  18, 
0.001, 0.253,  19, 
-0.002, 0.292,  20, 
0.007, 0.471,  21, 
0.003, 0.463,  22, 
0.000, 0.383,  23, 
0.018, 0.632,  24, 
-0.009, 0.466,  25, 
0.003, 0.417,  26, 
0.002, 0.365,  27, 
0.001, 0.406,  28, 
-0.005, 0.358,  29, 
-0.011, 0.413,  30, 
0.000, 0.414,  31, 
-0.008, 0.415,  32, 
-0.003, 0.441,  33, 
-0.008, 0.495,  34, 
0.005, 0.584,  35, 
0.007, 0.587,  36, 
0.012, 0.554,  37, 
-0.004, 0.447,  38, 
0.016, 0.538,  39, 
0.004, 0.274,  40, 
0.007, 0.411,  41, 
-0.005, 0.314,  42, 
-0.008, 0.274,  43, 
-0.004, 0.422,  44, 
0.008, 0.389,  45, 
-0.002, 0.275,  46, 
-0.001, 0.455,  47, 
0.005, 0.395,  48, 
-0.000, 0.238,  49, 
0.004, 0.411,  50, 
0.001, 0.401,  51, 
0.000, 0.343,  52, 
-0.007, 0.431,  53, 
-0.002, 0.233,  54, 
0.003, 0.378,  55, 
0.002, 0.320,  56, 
-0.007, 0.292,  57, 
-0.000, 0.290,  58, 
0.007, 0.393,  59, 
0.007, 0.313,  60, 
-0.002, 0.313,  61, 
-0.013, 0.484,  62, 
0.004, 0.320,  63, 
-0.002, 0.419,  64, 
-0.001, 0.551,  65, 
0.007, 0.432,  66, 
-0.014, 0.447,  67, 
-0.015, 0.563,  68, 
-0.005, 0.477,  69, 
0.012, 0.542,  70, 
0.004, 0.339,  71, 
-0.002, 0.256,  72, 
-0.006, 0.393,  73, 
-0.008, 0.391,  74, 
-0.007, 0.389,  75, 
0.016, 0.526,  76, 
-0.001, 0.505,  77, 
0.005, 0.377,  78, 
0.003, 0.497,  79, 
0.005, 0.235,  80, 
-0.002, 0.770,  81, 
-0.004, 0.407,  82, 
-0.008, 0.376,  83, 
-0.004, 0.270,  84, 
0.000, 0.315,  85, 
0.014, 0.552,  86, 
0.005, 0.490,  87, 
-0.001, 0.472,  88, 
0.001, 0.566,  89, 
0.002, 0.517,  90, 
0.013, 0.736,  91, 
0.011, 0.335,  92, 
-0.002, 0.335,  93, 
-0.000, 0.540,  94, 
-0.006, 0.406,  95, 
-0.011, 0.533,  96, 
-0.008, 0.512,  97, 
0.001, 0.586,  98, 
0.008, 0.428,  99, 
0.028, 0.900,  100, 
0.001, 0.270,  101, 
-0.002, 0.459,  102, 
0.005, 0.671,  103, 
0.001, 0.321,  104, 
0.001, 0.316,  105, 
-0.007, 0.545,  106, 
0.013, 0.314,  107, 
-0.001, 0.544,  108, 
0.003, 0.235,  109, 
-0.003, 0.244,  110, 
0.023, 0.506,  111, 
0.003, 0.335,  112, 
0.009, 0.323,  113, 
0.002, 0.384,  114, 
